TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/AverageReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss
920000,92.618034,nan,10,29,29,-59.25537610364627,-29.042556511053306,-20.3473472709825,2.7337215,-29.0425565110533,0.0,-29.0425565110533,10.592356028406792,-20.3473472709825,-59.25537610364627,-1883.6261,10,10.592356028406792,0.0,0.0,0.0,-29.042556511053306,6347.012
944000,47.69094,nan,10,30,30,-31.50849611855926,-19.6125372606473,15.06401310079997,2.0709295,-19.6125372606473,0.0,-19.6125372606473,13.020176391058417,15.06401310079997,-31.50849611855926,-2118.5754,10,13.020176391058417,0.0,0.0,0.0,-19.6125372606473,7759.1533
968000,136.86469,nan,10,31,31,-24.893827772330365,-14.405311076258812,-5.333986421651784,4.3439913,-14.405311076258808,0.0,-14.405311076258808,5.858250349513318,-5.333986421651784,-24.893827772330365,-633.02954,10,5.858250349513318,0.0,0.0,0.0,-14.405311076258812,4080.9805
992000,119.2901,nan,10,32,32,-32.77113613911446,-19.006250151890633,-8.163546611321491,4.7498164,-19.006250151890633,0.0,-19.006250151890633,7.707740211691181,-8.163546611321491,-32.77113613911446,-358.61725,10,7.707740211691181,0.0,0.0,0.0,-19.006250151890633,2856.7825
1016000,106.628075,nan,10,33,33,-24.152310649405727,-19.24564626270679,-13.221966564993915,4.8189716,-19.24564626270679,0.0,-19.24564626270679,3.913698432000008,-13.221966564993915,-24.152310649405727,-210.01915,10,3.913698432000008,0.0,0.0,0.0,-19.24564626270679,2604.228
1040000,130.52449,nan,10,34,34,-31.68506439267599,-18.179907501052618,-11.291793910301674,5.1264563,-18.179907501052615,0.0,-18.179907501052615,5.895295406930615,-11.291793910301674,-31.68506439267599,61.42334,10,5.895295406930615,0.0,0.0,0.0,-18.179907501052618,1886.1528
1064000,140.52036,nan,10,35,35,-44.48807666623588,-6.412118985005715,70.51931717196061,4.9321866,-6.4121189850057165,0.0,-6.4121189850057165,36.29328357448451,70.51931717196061,-44.48807666623588,73.985245,10,36.29328357448451,0.0,0.0,0.0,-6.412118985005715,2806.5774
1088000,112.61972,nan,10,36,36,-35.401661675735426,-19.775651760831636,-4.368488044185116,4.343301,-19.775651760831636,0.0,-19.775651760831636,8.93376180635607,-4.368488044185116,-35.401661675735426,62.392284,10,8.93376180635607,0.0,0.0,0.0,-19.775651760831636,4906.165
1112000,68.97748,nan,10,37,37,-31.409351512283052,-13.30091357412039,-3.1126891971767168,2.665625,-13.300913574120392,0.0,-13.300913574120392,8.00186648521571,-3.1126891971767168,-31.409351512283052,-84.29811,10,8.00186648521571,0.0,0.0,0.0,-13.30091357412039,5308.928
1136000,52.95377,nan,10,38,38,-24.846087506005468,-13.01718344021317,-3.7276533521841535,1.3338634,-13.01718344021317,0.0,-13.01718344021317,5.731592586333688,-3.7276533521841535,-24.846087506005468,-254.15692,10,5.731592586333688,0.0,0.0,0.0,-13.01718344021317,8864.638
1160000,29.5011,nan,10,39,39,-28.45751603665043,-16.20309338410658,-4.0194374183383,0.85670537,-16.20309338410658,0.0,-16.20309338410658,8.041311876509761,-4.0194374183383,-28.45751603665043,-387.28412,10,8.041311876509761,0.0,0.0,0.0,-16.20309338410658,17217.227
1184000,78.15186,nan,10,40,40,-46.76496044490862,43.460721144828014,379.75555543384627,0.27161717,43.460721144827986,0.0,43.460721144827986,139.1087542917475,379.75555543384627,-46.76496044490862,-740.8203,10,139.1087542917475,0.0,0.0,0.0,43.460721144828014,8098.873
1208000,44.567226,nan,10,41,41,-100.93235713407358,72.4188720101124,549.1591225731361,-0.8254002,72.41887201011241,0.0,72.41887201011241,180.32130980869283,549.1591225731361,-100.93235713407358,-2369.51,10,180.32130980869283,0.0,0.0,0.0,72.4188720101124,5973.134
1232000,63.36233,nan,10,42,42,-67.61967386951126,-3.2060756297472226,77.4543210786749,0.71642107,-3.20607562974723,0.0,-3.20607562974723,45.07285284872585,77.4543210786749,-67.61967386951126,-1538.4463,10,45.07285284872585,0.0,0.0,0.0,-3.2060756297472226,7725.28
1256000,308.91248,nan,10,43,43,-40.79436140915481,-28.986343464903428,-14.302979580908731,4.3020597,-28.986343464903438,0.0,-28.986343464903438,8.40041733457247,-14.302979580908731,-40.79436140915481,207.30225,10,8.40041733457247,0.0,0.0,0.0,-28.986343464903428,4235.272
1280000,68.775856,nan,10,44,44,-74.77747029525285,-30.70129914597941,24.58115442326067,3.4636436,-30.701299145979398,0.0,-30.701299145979398,32.88457429486738,24.58115442326067,-74.77747029525285,-124.08197,10,32.88457429486738,0.0,0.0,0.0,-30.70129914597941,5533.324
1304000,26.204277,nan,10,45,45,-117.00175800512282,-46.70910506925992,-2.3895076262127217,-0.019970642,-46.70910506925992,0.0,-46.70910506925992,46.10630367263712,-2.3895076262127217,-117.00175800512282,-1498.5837,10,46.10630367263712,0.0,0.0,0.0,-46.70910506925992,60767.414
1328000,171.33932,nan,10,46,46,-135.44837897910804,-58.59537257538648,80.80023221632382,-1.4967003,-58.59537257538651,0.0,-58.59537257538651,63.97684319862087,80.80023221632382,-135.44837897910804,-2194.0984,10,63.97684319862087,0.0,0.0,0.0,-58.59537257538648,170898.94
1352000,134.67775,nan,10,47,47,-133.1470190053522,1007.7256866285077,5465.589762428523,-4.690387,1007.7256866285068,0.0,1007.7256866285068,2199.1670124189195,5465.589762428523,-133.1470190053522,-4917.413,10,2199.1670124189195,0.0,0.0,0.0,1007.7256866285077,226981.22
1376000,2084.0942,nan,10,48,48,-66.82569825894943,-42.46819809516835,-27.82318580323726,0.73996055,-42.46819809516834,0.0,-42.46819809516834,11.746350982119544,-27.82318580323726,-66.82569825894943,-1033.1587,10,11.746350982119544,0.0,0.0,0.0,-42.46819809516835,103326.23
1400000,1801.0765,nan,10,49,49,-124.10435043293904,-39.0659821918279,29.87008872951651,0.34323674,-39.0659821918279,0.0,-39.0659821918279,44.37611934284969,29.87008872951651,-124.10435043293904,-244.01416,10,44.37611934284969,0.0,0.0,0.0,-39.0659821918279,104069.25
1424000,2456.4268,nan,10,50,50,-81.08690805574956,870.9554839727473,4750.2540061986065,-1.5671676,870.9554839727468,0.0,870.9554839727468,1801.819054750725,4750.2540061986065,-81.08690805574956,-1545.4014,10,1801.819054750725,0.0,0.0,0.0,870.9554839727473,216194.75
