TotalEnvSteps,MetaTest/hammer-v1/MaxReturn,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/NumTrajs,MetaTest/hammer-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/MinReturn,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/AverageDiscountedReturn
464000,-5.665471794662319,10,10,0.0,0.0,1.5431404276472205,1.5431404276472205,-7.349968252837863,10,-7.349968252837863,-10.627711952710007,-5.665471794662319,-7.349968252837863,0.0,-10.627711952710007,10,0.0,-7.349968252837863
488000,-5.567240719784512,10,10,0.0,0.0,0.8169746553680026,0.8169746553680026,-6.75594981408816,11,-6.755949814088159,-8.69603075202803,-5.567240719784512,-6.75594981408816,0.0,-8.69603075202803,11,0.0,-6.755949814088159
512000,-4.2677980442843,10,10,0.0,0.0,1.868898209677509,1.868898209677509,-6.601112658302514,12,-6.601112658302512,-9.75801475440721,-4.2677980442843,-6.601112658302514,0.0,-9.75801475440721,12,0.0,-6.601112658302512
536000,-34.77886599076017,10,10,0.0,0.0,19.542653622060385,19.542653622060385,-59.646591692317315,13,-59.64659169231733,-85.49220458840335,-34.77886599076017,-59.646591692317315,0.1,-85.49220458840335,13,0.1,-59.64659169231733
560000,-38.27617816622467,10,10,0.0,0.0,8.400419383441116,8.400419383441116,-60.70652448765345,14,-60.706524487653475,-70.0368191734301,-38.27617816622467,-60.70652448765345,0.0,-70.0368191734301,14,0.0,-60.706524487653475
584000,5801.249739378237,10,10,0.0,0.0,1740.4881044187264,1740.4881044187264,580.9270892781594,15,580.9270892781599,-53.36034920435237,5801.249739378237,580.9270892781594,0.0,-53.36034920435237,15,0.0,580.9270892781599
608000,-13.566348571273945,10,10,0.0,0.0,6.249595924735838,6.249595924735838,-30.702108787872515,16,-30.702108787872504,-37.226773691949234,-13.566348571273945,-30.702108787872515,0.0,-37.226773691949234,16,0.0,-30.702108787872504
632000,-21.956139364725054,10,10,0.0,0.0,2.8535546067685003,2.8535546067685003,-26.919841224026207,17,-26.91984122402622,-30.755725907608113,-21.956139364725054,-26.919841224026207,0.0,-30.755725907608113,17,0.0,-26.91984122402622
656000,-17.118560355164114,10,10,0.0,0.0,6.1552941027348975,6.1552941027348975,-28.66725668612322,18,-28.667256686123217,-37.73308276573799,-17.118560355164114,-28.66725668612322,0.0,-37.73308276573799,18,0.0,-28.667256686123217
680000,-24.512504659185357,10,10,0.0,0.0,4.828698811385611,4.828698811385611,-31.50079920921426,19,-31.500799209214257,-41.606272274712204,-24.512504659185357,-31.50079920921426,0.0,-41.606272274712204,19,0.0,-31.500799209214257
704000,-21.66995080422712,10,10,0.0,0.0,5.960972536704765,5.960972536704765,-32.31872581138634,20,-32.31872581138633,-42.25295114082941,-21.66995080422712,-32.31872581138634,0.0,-42.25295114082941,20,0.0,-32.31872581138633
728000,-15.283907709227774,10,10,0.0,0.0,18.39772683973792,18.39772683973792,-28.53860818357802,21,-28.538608183578013,-76.91941595081711,-15.283907709227774,-28.53860818357802,0.0,-76.91941595081711,21,0.0,-28.538608183578013
752000,5687.537353473557,10,10,0.0,0.0,1714.1726267039896,1714.1726267039896,545.3058540062017,22,545.3058540062017,-70.11739906015582,5687.537353473557,545.3058540062017,0.0,-70.11739906015582,22,0.0,545.3058540062017
776000,-0.04158649455991868,10,10,0.0,0.0,38.01499959404578,38.01499959404578,-45.531292486764656,23,-45.53129248676466,-127.10029223923358,-0.04158649455991868,-45.531292486764656,0.0,-127.10029223923358,23,0.0,-45.53129248676466
