MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/AverageReturn
10,-134.78118859421957,0.0,464000,0.0,-134.78118859421963,0.0,10,-29.210765923279663,-152.71911970366682,10,0.0,-29.210765923279663,35.516413988993094,10,-134.78118859421957,-152.71911970366682,35.516413988993094,-134.78118859421963
11,111726.93619639202,0.0,488000,0.0,111726.93619639205,0.6,10,314484.51433355553,-32.9173525095068,11,0.6,314484.51433355553,116770.47408669585,10,111726.93619639202,-32.9173525095068,116770.47408669585,111726.93619639205
12,201001.94369883343,0.0,512000,0.0,201001.94369883338,0.6,10,323943.82492376125,-39.789802870602706,12,0.6,323943.82492376125,121833.41719959979,10,201001.94369883343,-39.789802870602706,121833.41719959979,201001.94369883338
13,105058.7533285224,0.0,536000,0.0,105058.75332852243,0.3,10,312111.4795842427,-31.80821677263241,13,0.3,312111.4795842427,116139.96205761113,10,105058.7533285224,-31.80821677263241,116139.96205761113,105058.75332852243
14,148533.94944996043,0.0,560000,0.0,148533.9494499604,0.5,10,284733.7935051969,-22.63817460156277,14,0.5,284733.7935051969,96135.70656916148,10,148533.94944996043,-22.63817460156277,96135.70656916148,148533.9494499604
15,1515.82469309749,0.0,584000,0.0,1515.8246930974901,0.0,10,6866.38430138673,-57.29052837744552,15,0.0,6866.38430138673,2583.9525191429125,10,1515.82469309749,-57.29052837744552,2583.9525191429125,1515.8246930974901
16,42848.37013008617,0.0,608000,0.0,42848.37013008616,0.4,10,149446.49111853723,-56.13889157883831,16,0.4,149446.49111853723,61461.57336493284,10,42848.37013008617,-56.13889157883831,61461.57336493284,42848.37013008616
17,70537.4443265237,0.0,632000,0.0,70537.4443265237,0.6,10,248431.17683088742,-58.47119313856912,17,0.6,248431.17683088742,87208.2895903405,10,70537.4443265237,-58.47119313856912,87208.2895903405,70537.4443265237
18,61252.22385656337,0.0,656000,0.0,61252.223856563374,0.4,10,213322.0104399886,-60.99944994588541,18,0.4,213322.0104399886,89081.41949912968,10,61252.22385656337,-60.99944994588541,89081.41949912968,61252.223856563374
19,-47.86585124067479,0.0,680000,0.0,-47.86585124067479,0.0,10,-37.303102446637446,-85.34536727681713,19,0.0,-37.303102446637446,12.936789978196174,10,-47.86585124067479,-85.34536727681713,12.936789978196174,-47.86585124067479
20,-92.28923825016415,0.0,704000,0.0,-92.28923825016416,0.0,10,-86.73425638938949,-96.58584738063962,20,0.0,-86.73425638938949,3.0329923806018155,10,-92.28923825016415,-96.58584738063962,3.0329923806018155,-92.28923825016416
21,-59.79115087844516,0.0,728000,0.0,-59.79115087844516,0.0,10,-57.88062649920017,-63.009701809460864,21,0.0,-57.88062649920017,1.4793847158336662,10,-59.79115087844516,-63.009701809460864,1.4793847158336662,-59.79115087844516
22,-58.38401118476346,0.0,752000,0.0,-58.38401118476347,0.0,10,-55.290873911719224,-62.8562777861742,22,0.0,-55.290873911719224,2.4451740699903324,10,-58.38401118476346,-62.8562777861742,2.4451740699903324,-58.38401118476347
23,-72.27578880456512,0.0,776000,0.0,-72.27578880456515,0.0,10,-67.04456798971141,-76.75696778804247,23,0.0,-67.04456798971141,2.9863536985295474,10,-72.27578880456512,-76.75696778804247,2.9863536985295474,-72.27578880456515
