Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossBefore,Average/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MaxReturn,pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/Iteration,pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/NumEpisodes,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/StdReturn,pick-out-of-hole-v1/SuccessRate,pick-out-of-hole-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,pick-out-of-hole-v1/MaxReturn,Average/StdReturn,pick-out-of-hole-v1/StdReturn,pick-out-of-hole-v1/AverageDiscountedReturn,pick-out-of-hole-v1/TerminationRate,Average/NumEpisodes,Average/AverageReturn,Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/pick-out-of-hole-v1/AverageReturn,GaussianMLPPolicy/Entropy,Iteration,Average/MinReturn,MetaTest/Average/AverageReturn,pick-out-of-hole-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/TerminationRate,MetaTest/pick-out-of-hole-v1/MaxReturn
25,-24.637536886021508,0.0,-0.0017212890088558197,0.0,0.007595331873744726,-20.17954218555479,25,25,-24.61287160927523,1,0.0,0.0,0.0,0.0,200,-0.00534431729465723,0.0036230282858014107,0.0,1,0.0,2080000,-24.637536886021508,-24.637536886021508,25,-20.17954218555479,1.9428607470420698,1.9428607470420698,-11.816362684458943,0.0,200,-24.61287160927523,-11.816362684458943,-24.637536886021525,0.0,-24.637536886021508,5.5923004150390625,25,-32.10653939801871,-24.637536886021508,-32.10653939801871,-24.637536886021525,0.0,-24.637536886021508
26,-22.3484891126887,0.0,-0.004317539744079113,0.0,0.007950937375426292,-20.668701831362387,26,26,-24.365885037967402,1,0.0,0.0,0.0,0.0,200,-0.00727259274572134,0.002955053001642227,0.0,1,0.0,2160000,-22.3484891126887,-22.3484891126887,26,-20.668701831362387,1.950653512032752,1.950653512032752,-11.751408082060948,0.0,200,-24.365885037967402,-11.751408082060948,-22.348489112688707,0.0,-22.3484891126887,5.5459818840026855,26,-30.838172787344927,-22.3484891126887,-30.838172787344927,-22.348489112688707,0.0,-22.3484891126887
27,-22.062889542648005,0.0,0.0015533349942415953,0.0,0.005766663700342178,-20.36529134679355,27,27,-23.93108190003536,1,0.0,0.0,0.0,0.0,200,-0.0006221537478268147,0.00217548874206841,0.0,1,0.0,2240000,-22.062889542648005,-22.062889542648005,27,-20.36529134679355,1.8439869614556306,1.8439869614556306,-11.577616016667575,0.0,200,-23.93108190003536,-11.577616016667575,-22.06288954264799,0.0,-22.062889542648005,5.5716118812561035,27,-30.728657943058327,-22.062889542648005,-30.728657943058327,-22.06288954264799,0.0,-22.062889542648005
28,-23.025939122401276,0.0,-0.0005220907623879611,0.0,0.00763304065912962,-20.521651563272698,28,28,-25.066306933124206,1,0.0,0.0,0.0,0.0,200,-0.004301024135202169,0.0037789333728142083,0.0,1,0.0,2320000,-23.025939122401276,-23.025939122401276,28,-20.521651563272698,2.0250338058079462,2.0250338058079462,-12.055654764197563,0.0,200,-25.066306933124206,-12.055654764197563,-23.025939122401265,0.0,-23.025939122401276,5.5728535652160645,28,-30.288324938847143,-23.025939122401276,-30.288324938847143,-23.025939122401265,0.0,-23.025939122401276
29,-24.67672138182573,0.0,-0.004879733081907034,0.0,0.006578178144991398,-20.41224817755407,29,29,-24.405754317696633,1,0.0,0.0,0.0,0.0,200,-0.005624276585876942,0.0007445435039699078,0.0,1,0.0,2400000,-24.67672138182573,-24.67672138182573,29,-20.41224817755407,2.365142597639309,2.365142597639309,-11.71144534757318,0.0,200,-24.405754317696633,-11.71144534757318,-24.676721381825747,0.0,-24.67672138182573,5.517364978790283,29,-32.150688667848115,-24.67672138182573,-32.150688667848115,-24.676721381825747,0.0,-24.67672138182573
30,-22.59118196245324,0.0,-0.0028594452887773514,0.0,0.006931024603545666,-20.018071943670257,30,30,-23.72215667472137,1,0.0,0.0,0.0,0.0,200,-0.004092457238584757,0.0012330119498074055,0.0,1,0.0,2480000,-22.59118196245324,-22.59118196245324,30,-20.018071943670257,1.9221927179187157,1.9221927179187157,-11.467238244476034,0.0,200,-23.72215667472137,-11.467238244476034,-22.59118196245323,0.0,-22.59118196245324,5.4795966148376465,30,-30.157018799886004,-22.59118196245324,-30.157018799886004,-22.59118196245323,0.0,-22.59118196245324
31,-24.878777676551664,0.0,-0.0009807597380131483,0.0,0.008147768676280975,-19.624949105483115,31,31,-23.666041543624484,1,0.0,0.0,0.0,0.0,200,-0.004129093140363693,0.003148333402350545,0.0,1,0.0,2560000,-24.878777676551664,-24.878777676551664,31,-19.624949105483115,1.7946954355696172,1.7946954355696172,-11.360295400696327,0.0,200,-23.666041543624484,-11.360295400696327,-24.87877767655166,0.0,-24.878777676551664,5.468231678009033,31,-30.47607283983048,-24.878777676551664,-30.47607283983048,-24.87877767655166,0.0,-24.878777676551664
32,-22.698118669527883,0.0,0.000961699231993407,0.0,0.008519498631358147,-20.145679114334122,32,32,-23.32296136522699,1,0.0,0.0,0.0,0.0,200,-0.003052402986213565,0.004014102218206972,0.0,1,0.0,2640000,-22.698118669527883,-22.698118669527883,32,-20.145679114334122,1.447935641908664,1.447935641908664,-11.283826543584347,0.0,200,-23.32296136522699,-11.283826543584347,-22.69811866952788,0.0,-22.698118669527883,5.485496997833252,32,-27.915725023954106,-22.698118669527883,-27.915725023954106,-22.69811866952788,0.0,-22.698118669527883
33,-21.83652838925967,0.0,0.005313982255756855,0.0,0.0065131462179124355,-20.70874189335587,33,33,-24.105131081672894,1,0.0,0.0,0.0,0.0,200,0.004082969389855862,0.0012310128659009933,0.0,1,0.0,2720000,-21.83652838925967,-21.83652838925967,33,-20.70874189335587,1.5813255813378577,1.5813255813378577,-11.547544925687744,0.0,200,-24.105131081672894,-11.547544925687744,-21.83652838925965,0.0,-21.83652838925967,5.561243534088135,33,-28.662990744246034,-21.83652838925967,-28.662990744246034,-21.83652838925965,0.0,-21.83652838925967
34,-25.96620611660344,0.0,-0.00246249558404088,0.0,0.00992499478161335,-19.611415238480635,34,34,-23.88840748561722,1,0.0,0.0,0.0,0.0,200,-0.005408191122114658,0.002945695538073778,0.0,1,0.0,2800000,-25.96620611660344,-25.96620611660344,34,-19.611415238480635,1.6921823711127175,1.6921823711127175,-11.58575396354188,0.0,200,-23.88840748561722,-11.58575396354188,-25.966206116603463,0.0,-25.96620611660344,5.52725076675415,34,-28.005705459023307,-25.96620611660344,-28.005705459023307,-25.966206116603463,0.0,-25.96620611660344
