MetaTest/Average/Iteration,Average/Iteration,Average/NumEpisodes,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/push-v1/Iteration,Iteration,Average/SuccessRate,push-v1/MaxReturn,push-v1/AverageReturn,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/TerminationRate,push-v1/AverageDiscountedReturn,MetaTest/push-v1/AverageDiscountedReturn,push-v1/MinReturn,Average/AverageReturn,Average/TerminationRate,MetaTest/push-v1/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,MetaTest/Average/NumEpisodes,Average/MaxReturn,push-v1/NumEpisodes,push-v1/StdReturn,TotalEnvSteps,push-v1/TerminationRate,MetaTest/Average/MaxReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/StdReturn,MetaTest/Average/SuccessRate,push-v1/Iteration,MetaTest/push-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/AverageReturn,MetaTest/Average/StdReturn,push-v1/SuccessRate,Average/AverageDiscountedReturn
,22,200,,,,,,22,0.07,99160.54140869244,7266.047271550551,14313.872436521482,,,1960.3063539998682,,-25.444105493406056,7266.047271550551,0.0,,9.050286280398723e-06,-25.444105493406056,,1.2794316717190668e-08,5.589322090148926,3.4580662031657994e-06,,99160.54140869244,200,14313.872436521482,1840000,0.0,,0.0,,,22,,3.4452718864486087e-06,,,0.07,1960.3063539998682
,23,200,,,,,,23,0.06,110746.24376846723,6195.3841188622055,12685.853232327385,,,1653.0376663794857,,-30.589756891623374,6195.3841188622055,0.0,,0.00016352029342669994,-30.589756891623374,,2.3256984604813624e-07,5.5854339599609375,-2.941051434390829e-06,,110746.24376846723,200,12685.853232327385,1920000,0.0,,0.0,,,23,,-3.173621280438965e-06,,,0.06,1653.0376663794857
,24,200,,,,,,24,0.07,93091.95691501511,5241.08376809966,10918.063577232659,,,1550.5743953193066,,-23.71480670174015,5241.08376809966,0.0,,6.950647366466e-05,-23.71480670174015,,9.853147275862284e-08,5.588943958282471,3.2503514830750646e-06,,93091.95691501511,200,10918.063577232659,2000000,0.0,,0.0,,,24,,3.1518200103164418e-06,,,0.07,1550.5743953193066
,25,200,,,,,,25,0.085,103085.29329175079,7007.649026314171,13037.683166116276,,,1930.2398405670815,,-30.028188829481238,7007.649026314171,0.0,,4.02554651373066e-05,-30.028188829481238,,5.6996896091732197e-08,5.5879130363464355,-1.1502218058012659e-06,,103085.29329175079,200,13037.683166116276,2080000,0.0,,0.0,,,25,,-1.207218701892998e-06,,,0.085,1930.2398405670815
,26,200,,,,,,26,0.09,150143.75991036338,10273.490972249461,23013.881159309323,,,2662.4138464239195,,-22.91577667487137,10273.490972249461,0.0,,0.0001421817287337035,-22.91577667487137,,2.0200036487949546e-07,5.5863213539123535,-1.3675698937731795e-06,,150143.75991036338,200,23013.881159309323,2160000,0.0,,0.0,,,26,,-1.569570258652675e-06,,,0.09,2662.4138464239195
,27,200,,,,,,27,0.08,66388.53126011492,6916.343530493183,12910.636141831857,,,1846.7527470182745,,-38.08379679191315,6916.343530493183,0.0,,0.0002721790806390345,-38.08379679191315,,3.9026326703606173e-07,5.57165002822876,-1.1888603694387712e-05,,66388.53126011492,200,12910.636141831857,2240000,0.0,,0.0,,,27,,-1.2278866961423773e-05,,,0.08,1846.7527470182745
,28,200,,,,,,28,0.075,103056.0427166565,8609.133740544847,15943.788975750891,,,2348.880414925609,,-19.857368814042125,8609.133740544847,0.0,,0.0012721831444650888,-19.857368814042125,,2.0412157937244046e-06,5.582511901855469,8.519028597220313e-06,,103056.0427166565,200,15943.788975750891,2320000,0.0,,0.0,,,28,,6.477812803495908e-06,,,0.075,2348.880414925609
,29,200,,,,,,29,0.075,104116.09575614816,7244.686176193233,15174.447758106486,,,1886.8079703555431,,-25.42341900770807,7244.686176193233,0.0,,0.00015842173888813704,-25.42341900770807,,2.2602762328460813e-07,5.561706066131592,-1.4475413991021924e-05,,104116.09575614816,200,15174.447758106486,2400000,0.0,,0.0,,,29,,-1.4701441614306532e-05,,,0.075,1886.8079703555431
3,30,200,112458.96221777423,2.654708583024112,0.0,18359.341083833362,3,30,0.095,138506.1496078081,7517.756637698197,16278.563907892642,18359.341083833362,0.0,2045.0649798334216,18359.341083833362,-26.0416661269444,7517.756637698197,0.0,0.2,8.355979662155733e-05,-26.0416661269444,2.654708583024112,1.1850943337776698e-07,5.553031921386719,-6.429718723666156e-06,10,138506.1496078081,200,16278.563907892642,2480000,0.0,112458.96221777423,0.0,32389.97855277732,0.2,30,10,-6.548228157043923e-06,18359.341083833362,32389.97855277732,0.095,2045.0649798334216
,31,200,,,,,,31,0.085,157571.21138849278,9468.592228798265,20626.346681936397,,,2464.1448632403103,,-26.109968171671284,9468.592228798265,0.0,,2.6657935450202785e-05,-26.109968171671284,,3.7661266105715185e-08,5.55061149597168,-2.671975380508229e-06,,157571.21138849278,200,20626.346681936397,2560000,0.0,,0.0,,,31,,-2.7096366466139443e-06,,,0.085,2464.1448632403103
