MetaTest/Average/SuccessRate,MetaTest/handle-pull-side-v1/Iteration,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/handle-pull-side-v1/AverageReturn
0.0,13,10,18890.170316845164,-15.667875939853054,-15.667875939853054,0.0,45791.483674772055,45791.483674772055,13,22993.432660389524,10,22993.43266038953,536000,0.0,0.0,22993.432660389524,18890.170316845164,22993.43266038953
0.0,14,10,20260.8590307151,-60.52744876214643,-60.52744876214643,0.0,46052.55699131646,46052.55699131646,14,17246.521277006475,10,17246.521277006475,560000,0.0,0.0,17246.521277006475,20260.8590307151,17246.521277006475
0.0,15,10,19360.67918424778,-19.882068336694815,-19.882068336694815,0.0,45997.21753575599,45997.21753575599,15,23640.239716609012,10,23640.239716609005,584000,0.0,0.0,23640.239716609012,19360.67918424778,23640.239716609005
0.0,16,10,17678.19812877898,-13.207641914035422,-13.207641914035422,0.0,46074.175337220106,46074.175337220106,16,33197.32956116843,10,33197.32956116842,608000,0.0,0.0,33197.32956116843,17678.19812877898,33197.32956116842
0.0,17,10,17488.90901594755,-23.338521152965768,-23.338521152965768,0.0,46005.747336995555,46005.747336995555,17,22558.045082681354,10,22558.04508268135,632000,0.0,0.0,22558.045082681354,17488.90901594755,22558.04508268135
0.0,18,10,16747.549640520705,-24.79570031618916,-24.79570031618916,0.0,45520.1036728186,45520.1036728186,18,31694.230156086105,10,31694.230156086094,656000,0.0,0.0,31694.230156086105,16747.549640520705,31694.230156086094
0.0,19,10,21848.172559555227,-91.1561864277357,-91.1561864277357,0.0,45816.00930444611,45816.00930444611,19,18900.377573129765,10,18900.377573129772,680000,0.0,0.0,18900.377573129765,21848.172559555227,18900.377573129772
0.0,20,10,1695.8250598034074,-64.28092178105345,-64.28092178105345,0.0,5566.36706903723,5566.36706903723,20,649.6265604571178,10,649.6265604571174,704000,0.0,0.0,649.6265604571178,1695.8250598034074,649.6265604571174
0.0,21,10,15148.108614107869,-64.74288744083988,-64.74288744083988,0.0,45637.68003349249,45637.68003349249,21,8074.720485638111,10,8074.720485638111,728000,0.0,0.0,8074.720485638111,15148.108614107869,8074.720485638111
0.0,22,10,2079.3086079652026,-60.97250275644035,-60.97250275644035,0.0,5795.327925333778,5795.327925333778,22,1752.8483013719256,10,1752.8483013719251,752000,0.0,0.0,1752.8483013719256,2079.3086079652026,1752.8483013719251
0.0,23,10,11578.30126690617,-63.39239573266373,-63.39239573266373,0.0,37458.00648464825,37458.00648464825,23,8449.050053651921,10,8449.050053651923,776000,0.0,0.0,8449.050053651921,11578.30126690617,8449.050053651923
0.0,24,10,14522.81389251051,-64.75370513317203,-64.75370513317203,0.0,45902.98523111486,45902.98523111486,24,8464.171865553995,10,8464.171865553993,800000,0.0,0.0,8464.171865553995,14522.81389251051,8464.171865553993
