MetaTest/push-wall-v1/Iteration,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/push-wall-v1/NumTrajs,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/push-wall-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-wall-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/push-wall-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/push-wall-v1/MinReturn
14,0.0,16841.64034414394,33613.70637815933,10,560000,14,16841.64034414394,16841.64034414394,33613.70637815933,-71.19350276860894,0.0,16841.64034414394,91433.71875093765,91433.71875093765,0.0,10,0.0,-71.19350276860894
15,0.1,3964.20369354956,7285.893313720863,10,584000,15,3964.20369354956,3964.203693549559,7285.893313720863,-81.62497124306142,0.0,3964.203693549559,20030.57286725154,20030.57286725154,0.0,10,0.1,-81.62497124306142
16,0.0,2262.257898422459,4191.830407190172,10,608000,16,2262.257898422459,2262.2578984224588,4191.830407190172,-251.18519146337846,0.0,2262.2578984224588,13512.976358206643,13512.976358206643,0.0,10,0.0,-251.18519146337846
17,0.1,4907.486428988419,7014.035741937483,10,632000,17,4907.486428988419,4907.4864289884235,7014.035741937483,-48.520279036611605,0.0,4907.4864289884235,17057.95504352193,17057.95504352193,0.0,10,0.1,-48.520279036611605
18,0.2,5487.203715160542,8226.623060671001,10,656000,18,5487.203715160542,5487.203715160543,8226.623060671001,-148.56730407066695,0.0,5487.203715160543,20606.45662429739,20606.45662429739,0.0,10,0.2,-148.56730407066695
19,0.0,501.1981439576786,1532.7803937977785,10,680000,19,501.1981439576786,501.19814395767855,1532.7803937977785,-93.06277582055337,0.0,501.19814395767855,5088.971938364292,5088.971938364292,0.0,10,0.0,-93.06277582055337
20,0.2,19084.154550458425,26002.367696130306,10,704000,20,19084.154550458425,19084.154550458425,26002.367696130306,-234.80881596869466,0.0,19084.154550458425,75086.91892275166,75086.91892275166,0.0,10,0.2,-234.80881596869466
21,0.0,2224.9303665111315,6495.843094623836,10,728000,21,2224.9303665111315,2224.930366511133,6495.843094623836,-70.16907229988418,0.0,2224.930366511133,21695.585350287358,21695.585350287358,0.0,10,0.0,-70.16907229988418
22,0.0,1786.037890335388,2558.3646749529653,10,752000,22,1786.037890335388,1786.0378903353874,2558.3646749529653,-48.70449605025842,0.0,1786.0378903353874,7475.15058508576,7475.15058508576,0.0,10,0.0,-48.70449605025842
23,0.2,8456.454543323536,21402.509308709276,10,776000,23,8456.454543323536,8456.45454332353,21402.509308709276,-78.32483356605854,0.0,8456.45454332353,72400.61275371222,72400.61275371222,0.0,10,0.2,-78.32483356605854
24,0.1,8692.913542156382,15388.915716286709,10,800000,24,8692.913542156382,8692.913542156382,15388.915716286709,-75.35182061290087,0.0,8692.913542156382,50155.750696470124,50155.750696470124,0.0,10,0.1,-75.35182061290087
