MetaTest/button-press-v1/SuccessRate,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTest/button-press-v1/MinReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/button-press-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/button-press-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn
0.1,34756.92723442063,-107.36838233316595,0.0,10,34756.92723442063,14,102844.79944035628,-107.36838233316595,343256.15277212934,343256.15277212934,0.1,560000,10,14,0.0,102844.79944035628,34756.92723442063,34756.92723442063
0.0,1580.3107006781277,-110.41994209779743,0.0,10,1580.3107006781254,15,2138.72584498963,-110.41994209779743,5235.481907012803,5235.481907012803,0.0,584000,10,15,0.0,2138.72584498963,1580.3107006781254,1580.3107006781277
0.2,47526.178702430996,-106.54344422807004,0.0,10,47526.17870243099,16,111574.1114794297,-106.54344422807004,372488.31055619766,372488.31055619766,0.2,608000,10,16,0.0,111574.1114794297,47526.17870243099,47526.178702430996
0.2,48207.24222735589,-107.5847843883549,0.0,10,48207.24222735589,17,97063.70669088616,-107.5847843883549,289715.2928579092,289715.2928579092,0.2,632000,10,17,0.0,97063.70669088616,48207.24222735589,48207.24222735589
0.4,44260.285977494605,-109.01058401981129,0.0,10,44260.28597749457,18,98430.48884925313,-109.01058401981129,323148.95596366056,323148.95596366056,0.4,656000,10,18,0.0,98430.48884925313,44260.28597749457,44260.285977494605
0.3,59385.57569791216,-108.7408039158315,0.0,10,59385.57569791216,19,106950.98130405412,-108.7408039158315,335601.35409835825,335601.35409835825,0.3,680000,10,19,0.0,106950.98130405412,59385.57569791216,59385.57569791216
0.1,7303.0369703545175,-108.68297811711695,0.0,10,7303.036970354522,20,18471.69576902865,-108.68297811711695,62527.07904816176,62527.07904816176,0.1,704000,10,20,0.0,18471.69576902865,7303.036970354522,7303.0369703545175
0.1,10153.084421425725,-107.55195470218841,0.0,10,10153.084421425698,21,25210.283220236237,-107.55195470218841,85472.13075022107,85472.13075022107,0.1,728000,10,21,0.0,25210.283220236237,10153.084421425698,10153.084421425725
0.3,27434.71343069435,-104.85161394978795,0.0,10,27434.713430694363,22,75766.49800851957,-104.85161394978795,254628.02164324463,254628.02164324463,0.3,752000,10,22,0.0,75766.49800851957,27434.713430694363,27434.71343069435
0.2,36567.296151639675,-103.79386788191808,0.0,10,36567.296151639704,23,106406.63548429421,-103.79386788191808,355744.49269305187,355744.49269305187,0.2,776000,10,23,0.0,106406.63548429421,36567.296151639704,36567.296151639675
0.0,17757.511213091304,-105.31415056456697,0.0,10,17757.511213091286,24,48306.3626740131,-105.31415056456697,162503.7548828048,162503.7548828048,0.0,800000,10,24,0.0,48306.3626740131,17757.511213091286,17757.511213091304
0.0,1040.4556504977274,-109.26192903542305,0.0,10,1040.4556504977334,25,1930.9767223537067,-109.26192903542305,5234.6618410406145,5234.6618410406145,0.0,824000,10,25,0.0,1930.9767223537067,1040.4556504977334,1040.4556504977274
