MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/coffee-push-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/coffee-push-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/coffee-push-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/coffee-push-v1/MinReturn
10,464000,0.2,0.0,28027.902186899853,529.8266,172200.95596400692,0.2,28027.902186899853,0.0,10,-65599.62,172200.95596400692,28027.902186899846,-15.361844,10,28027.902186899846,3833037.2,-52.306227175461274,10,56011.42046269,nan,56011.42046269,-52.306227175461274
11,488000,0.1,0.0,16225.873036344328,558.807,152873.0334412371,0.1,16225.873036344328,0.0,10,-72868.64,152873.0334412371,16225.873036344317,-15.267294,11,16225.873036344317,4952079.0,-35.82700077466798,10,45627.82946197447,nan,45627.82946197447,-35.82700077466798
12,512000,0.1,0.0,23363.267003529614,555.76337,217303.5690300723,0.1,23363.267003529614,0.0,10,-83630.914,217303.5690300723,23363.2670035296,-15.658627,12,23363.2670035296,6460417.0,-93.96034047856585,10,64730.0659724837,nan,64730.0659724837,-93.96034047856585
13,536000,0.0,0.0,491.2508758289947,409.75885,2051.782050118746,0.0,491.2508758289947,0.0,10,-99749.33,2051.782050118746,491.2508758289943,-15.507759,13,491.2508758289943,8255762.5,-86.03734422254553,10,835.6643638628638,nan,835.6643638628638,-86.03734422254553
14,560000,0.2,0.0,30187.76410177907,316.2326,107721.03386403527,0.2,30187.76410177907,0.0,10,-115086.266,107721.03386403527,30187.764101779077,-15.705016,14,30187.764101779077,10444184.0,-106.86786520158455,10,46305.334119422085,nan,46305.334119422085,-106.86786520158455
15,584000,0.2,0.0,32688.60728827885,392.24258,129566.24899626304,0.2,32688.60728827885,0.0,10,-126543.03,129566.24899626304,32688.607288278865,-15.505386,15,32688.607288278865,11803853.0,-35.621762655161476,10,50673.1058679385,nan,50673.1058679385,-35.621762655161476
16,608000,0.3,0.0,59647.8373338721,435.08823,156520.35191607312,0.3,59647.8373338721,0.0,10,-133481.44,156520.35191607312,59647.837333872114,-16.335,16,59647.837333872114,14450459.0,-19.72111982176611,10,51012.30350718967,nan,51012.30350718967,-19.72111982176611
17,632000,0.6,0.0,78470.93977509937,253.46835,175106.3446718055,0.6,78470.93977509937,0.0,10,-149329.02,175106.3446718055,78470.93977509937,-17.036383,17,78470.93977509937,16499743.0,-47.30172100358394,10,72471.37361883614,nan,72471.37361883614,-47.30172100358394
18,656000,0.4,0.0,14572.488214955167,89.97202,129460.00816416056,0.4,14572.488214955167,0.0,10,-153387.27,129460.00816416056,14572.48821495516,-17.453852,18,14572.48821495516,17718462.0,-18.37514943907467,10,38435.35919715977,nan,38435.35919715977,-18.37514943907467
19,680000,0.3,0.0,21794.79815081228,117.06878,116214.60001431478,0.3,21794.79815081228,0.0,10,-152597.86,116214.60001431478,21794.798150812272,-18.973133,19,21794.798150812272,18859216.0,-44.75726607988044,10,39008.658121633394,nan,39008.658121633394,-44.75726607988044
