MetaTrain/Average/AlphaLoss,MetaTest/door-unlock-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/door-unlock-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/door-unlock-v1/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/door-unlock-v1/NumTrajs,MetaTest/door-unlock-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/door-unlock-v1/MinReturn,MetaTest/door-unlock-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/door-unlock-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/door-unlock-v1/StdReturn
-9.558714,9272.551055604394,-21471.367,10,0.0,0.0,16178.514667017605,0.1,7420.929736780741,464000,10,10,nan,-13.512356608558404,16178.514667017605,1893042.4,20.53123,9272.551055604396,-13.512356608558404,9272.551055604396,10,0.1,9272.551055604394,7420.929736780741
-9.702066,12071.532884967537,-21288.877,11,0.0,0.0,18083.185236304584,0.3,5672.382084032404,488000,10,11,nan,2527.740279567249,18083.185236304584,1920518.4,26.650124,12071.532884967535,2527.740279567249,12071.532884967535,10,0.3,12071.532884967537,5672.382084032404
-10.916249,2920.8281537207913,-21758.744,12,0.0,0.0,14341.897925728204,0.4,4784.518292163836,512000,10,12,nan,-35.67988732257996,14341.897925728204,2296620.5,34.41167,2920.8281537207904,-35.67988732257996,2920.8281537207904,10,0.4,2920.8281537207913,4784.518292163836
-10.790033,5528.5460690567,-23977.32,13,0.0,0.0,24266.61565318845,0.1,8264.444577549673,536000,10,13,nan,-25.91894999533731,24266.61565318845,2993649.2,58.899,5528.5460690567,-25.91894999533731,5528.5460690567,10,0.1,5528.5460690567,8264.444577549673
-10.769119,7637.815351606584,-24748.898,14,0.0,0.0,16357.883021252563,0.1,6463.572873673951,560000,10,14,nan,-13.839668432947258,16357.883021252563,3375761.2,79.836296,7637.815351606584,-13.839668432947258,7637.815351606584,10,0.1,7637.815351606584,6463.572873673951
-11.47578,4878.4966589710475,-25380.879,15,0.0,0.0,16651.76793634308,0.0,7488.325086894041,584000,10,15,nan,-32.45954392044447,16651.76793634308,3746691.5,107.900215,4878.4966589710475,-32.45954392044447,4878.4966589710475,10,0.0,4878.4966589710475,7488.325086894041
-12.11718,3019.3130346579846,-27428.805,16,0.0,0.0,16179.977968062032,0.1,4638.127585888699,608000,10,16,nan,-13.767055820867055,16179.977968062032,4301801.0,111.368805,3019.313034657984,-13.767055820867055,3019.313034657984,10,0.1,3019.3130346579846,4638.127585888699
-13.532974,3820.35115456232,-24942.953,17,0.0,0.0,16651.75830220439,0.1,5844.824201910555,632000,10,17,nan,-112.01930423435918,16651.75830220439,3947396.0,118.634735,3820.3511545623214,-112.01930423435918,3820.3511545623214,10,0.1,3820.35115456232,5844.824201910555
-13.844027,8348.441556285541,-31365.799,18,0.0,0.0,16180.11765669502,0.0,6828.39043366209,656000,10,18,nan,-21.34012271385316,16180.11765669502,6337965.0,125.91727,8348.441556285545,-21.34012271385316,8348.441556285545,10,0.0,8348.441556285541,6828.39043366209
-13.993877,9231.258598975248,-34697.016,19,0.0,0.0,44404.58786596227,0.5,13589.28434900246,680000,10,19,nan,-34.07164793439581,44404.58786596227,7538076.5,86.68061,9231.258598975246,-34.07164793439581,9231.258598975246,10,0.5,9231.258598975248,13589.28434900246
