plate-slide-v1/Iteration,plate-slide-v1/StdReturn,GaussianMLPPolicy/KLBefore,TotalEnvSteps,MetaTest/plate-slide-v1/AverageDiscountedReturn,plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,Average/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/plate-slide-v1/MinReturn,MetaTest/Average/StdReturn,plate-slide-v1/MinReturn,Average/SuccessRate,plate-slide-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/MaxReturn,plate-slide-v1/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossAfter,Average/StdReturn,MetaTest/Average/Iteration,plate-slide-v1/TerminationRate,Iteration,plate-slide-v1/SuccessRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,Average/Iteration,Average/MaxReturn,MetaTest/plate-slide-v1/AverageReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/Iteration,plate-slide-v1/AverageReturn,Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/TerminationRate,GaussianMLPPolicy/Entropy,MetaTest/Average/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,Average/MinReturn,Average/TerminationRate
22,9664.50231682191,0.0,1840000,,1648.3079906754401,,3.623532393248752e-05,200,-4.009186341136228e-06,,,-45.905721464810384,0.015,200,,,,48733.11663362003,,-4.0605054891784675e-06,9664.50231682191,,0.0,22,0.015,,,22,48733.11663362003,,6148.449343918095,,,6148.449343918095,1648.3079906754401,,5.704594612121582,,,,5.131914804223925e-08,-45.905721464810384,0.0
23,11468.915728433649,0.0,1920000,,1803.2835271832114,,2.1828189346706495e-05,200,-1.5807079307705862e-06,,,-44.83797715510571,0.0,200,,,,60347.443837008825,,-1.611569814485847e-06,11468.915728433649,,0.0,23,0.0,,,23,60347.443837008825,,7105.322479458386,,,7105.322479458386,1803.2835271832114,,5.7029876708984375,,,,3.0861883715260774e-08,-44.83797715510571,0.0
24,11469.246669127362,0.0,2000000,,1929.4555889706483,,7.072939479257911e-05,200,-4.078484835190466e-06,,,-45.88936109244347,0.01,200,,,,52956.47360769395,,-4.178703875368228e-06,11469.246669127362,,0.0,24,0.01,,,24,52956.47360769395,,7143.61576811319,,,7143.61576811319,1929.4555889706483,,5.699471473693848,,,,1.0021904017776251e-07,-45.88936109244347,0.0
25,14162.283575506373,0.0,2080000,,2708.2049828796617,,3.533748531481251e-05,200,-7.776086619060152e-08,,,-46.24189535035802,0.02,200,,,,73906.53629370432,,-1.2776645519352314e-07,14162.283575506373,,0.0,25,0.02,,,25,73906.53629370432,,10115.303091276459,,,10115.303091276459,2708.2049828796617,,5.69941520690918,,,,5.0005589002921624e-08,-46.24189535035802,0.0
26,11073.385985109573,0.0,2160000,,1622.5299678202248,,3.68390028597787e-05,200,9.575194326316705e-07,,,-44.0805340961577,0.03,200,,,,57954.82742887613,,9.053674148162827e-07,11073.385985109573,,0.0,26,0.03,,,26,57954.82742887613,,5952.0646296303385,,,5952.0646296303385,1622.5299678202248,,5.7008280754089355,,,,5.215201781538781e-08,-44.0805340961577,0.0
27,12612.833352782924,0.0,2240000,,2145.553168900125,,7.253004878293723e-05,200,-1.8656788824955584e-06,,,-44.280581452512344,0.01,200,,,,64549.753154422244,,-1.9685394363477826e-06,12612.833352782924,,0.0,27,0.01,,,27,64549.753154422244,,7706.79087058173,,,7706.79087058173,2145.553168900125,,5.6995649337768555,,,,1.0286055385222426e-07,-44.280581452512344,0.0
28,10617.972031312556,0.0,2320000,,1911.4976194305327,,3.721456596395001e-05,200,5.8911592759614e-07,,,-41.64274444492054,0.025,200,,,,43573.37082686738,,5.363987156670191e-07,10617.972031312556,,0.0,28,0.025,,,28,43573.37082686738,,7276.87830873645,,,7276.87830873645,1911.4976194305327,,5.699975967407227,,,,5.271721192912082e-08,-41.64274444492054,0.0
29,11503.841730304579,0.0,2400000,,2032.4049869793637,,2.599964864202775e-05,200,-1.9689025521074655e-06,,,-46.45676346444209,0.02,200,,,,50667.040473742345,,-2.0056882021890488e-06,11503.841730304579,,0.0,29,0.02,,,29,50667.040473742345,,7523.271756221811,,,7523.271756221811,2032.4049869793637,,5.698668956756592,,,,3.67856500815833e-08,-46.45676346444209,0.0
30,12134.85670762192,0.0,2480000,6160.576451673993,2354.828071559036,-37.6330867821432,8.578588676755317e-06,200,4.202318564239249e-07,-37.6330867821432,10983.162532397952,-50.93972650020828,0.005,200,0.0,6160.576451673993,33103.6977434252,50271.11636246525,10,4.0809968027133436e-07,12134.85670762192,3,0.0,30,0.005,10983.162532397952,10,30,50271.11636246525,6160.576451673993,8674.60022633584,6160.576451673993,3,8674.60022633584,2354.828071559036,0.0,5.698936939239502,33103.6977434252,0.0,0.0,1.2132176152590546e-08,-50.93972650020828,0.0
31,12165.342071492112,0.0,2560000,,2072.1967014012475,,1.822440572141204e-05,200,-1.5567253512926982e-06,,,-52.94515143487088,0.01,200,,,,62813.502051185096,,-1.5825264654267812e-06,12165.342071492112,,0.0,31,0.01,,,31,62813.502051185096,,7650.929756132274,,,7650.929756132274,2072.1967014012475,,5.697988033294678,,,,2.5801114134083036e-08,-52.94515143487088,0.0
