MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/handle-pull-side-v1/Iteration,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/handle-pull-side-v1/AverageReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn
10496.925210496236,4400.272870598439,35269.24188195727,-64.43298589888626,10,4400.272870598439,488000,11,10496.925210496236,4400.272870598438,4400.272870598438,-64.43298589888626,0.0,11,0.0,0.0,0.0,10,35269.24188195727
10817.196940675025,6236.7886459032725,36976.44809160586,-63.66900108864031,10,6236.7886459032725,512000,12,10817.196940675025,6236.7886459032725,6236.7886459032725,-63.66900108864031,0.0,12,0.0,0.0,0.0,10,36976.44809160586
14098.235080685145,11310.171015699438,41376.8553365333,-155.16313339151813,10,11310.171015699438,536000,13,14098.235080685145,11310.171015699436,11310.171015699436,-155.16313339151813,0.0,13,0.0,0.0,0.0,10,41376.8553365333
1096.5613995539197,306.8642779042952,3596.4928435413617,-65.01718008786933,10,306.8642779042952,560000,14,1096.5613995539197,306.86427790429525,306.86427790429525,-65.01718008786933,0.0,14,0.0,0.0,0.0,10,3596.4928435413617
13048.26635177801,7709.689174545929,45885.861836031974,-63.80951614197532,10,7709.689174545929,584000,15,13048.26635177801,7709.689174545929,7709.689174545929,-63.80951614197532,0.0,15,0.0,0.0,0.0,10,45885.861836031974
13472.809970879376,7135.249288954717,36727.10590542931,-64.71930857854332,10,7135.249288954717,608000,16,13472.809970879376,7135.249288954712,7135.249288954712,-64.71930857854332,0.0,16,0.0,0.0,0.0,10,36727.10590542931
2673.0840157081707,1456.9399122574318,7503.1693878362885,-62.2961649789767,10,1456.9399122574318,632000,17,2673.0840157081707,1456.9399122574325,1456.9399122574325,-62.2961649789767,0.0,17,0.0,0.0,0.0,10,7503.1693878362885
7678.922801861908,4040.130264740443,26263.266617928137,-64.99419776930584,10,4040.130264740443,656000,18,7678.922801861908,4040.1302647404445,4040.1302647404445,-64.99419776930584,0.0,18,0.0,0.0,0.0,10,26263.266617928137
17749.148683759482,12307.60016857241,45642.503204289314,-64.22840065259935,10,12307.60016857241,680000,19,17749.148683759482,12307.600168572413,12307.600168572413,-64.22840065259935,0.0,19,0.0,0.0,0.0,10,45642.503204289314
8493.40981882175,4063.324394442587,28467.010039459437,-62.501049375149975,10,4063.324394442587,704000,20,8493.40981882175,4063.3243944425894,4063.3243944425894,-62.501049375149975,0.0,20,0.0,0.0,0.0,10,28467.010039459437
16577.10636270121,12479.05844413035,42807.43634004724,-61.27266852271147,10,12479.05844413035,728000,21,16577.10636270121,12479.058444130353,12479.058444130353,-61.27266852271147,0.0,21,0.0,0.0,0.0,10,42807.43634004724
2418.177679369271,2310.1305773125123,7019.283314606156,-64.02485774172844,10,2310.1305773125123,752000,22,2418.177679369271,2310.1305773125123,2310.1305773125123,-64.02485774172844,0.0,22,0.0,0.0,0.0,10,7019.283314606156
4922.284405802376,3408.45166778208,16298.083749945463,-62.914024695046116,10,3408.45166778208,776000,23,4922.284405802376,3408.4516677820807,3408.4516677820807,-62.914024695046116,0.0,23,0.0,0.0,0.0,10,16298.083749945463
3964.1237212874357,3575.1986442752327,13855.993587734663,-63.253034980665355,10,3575.1986442752327,800000,24,3964.1237212874357,3575.1986442752323,3575.1986442752323,-63.253034980665355,0.0,24,0.0,0.0,0.0,10,13855.993587734663
