MetaTest/Average/TerminationRate,MetaTest/button-press-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/button-press-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/button-press-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/button-press-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/button-press-v1/StdReturn,MetaTest/button-press-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,TotalEnvSteps,MetaTrain/Average/QfLoss,MetaTest/button-press-v1/MaxReturn,MetaTest/button-press-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/button-press-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss
0.0,0.8,104449.70291275105,10,373025.6812437243,0.0,0.8,10,10,104449.70291275105,271759.44914390903,271759.44914390903,nan,464000,87052340.0,373025.6812437243,271759.44914390903,-36.7251,10,4341.12203939345,4341.12203939345,742.40027,271759.44914390903,-269202.3
0.0,0.4,159870.52051450012,10,366085.4237018719,0.0,0.4,11,10,159870.52051450012,131331.53003927303,131331.53003927297,nan,488000,117556700.0,366085.4237018719,131331.53003927297,-36.682796,11,-18.305108965088163,-18.305108965088163,659.6654,131331.53003927303,-317346.53
0.0,0.5,146683.09701222784,10,342142.1952717854,0.0,0.5,12,10,146683.09701222784,170047.29827815757,170047.2982781576,nan,512000,156293780.0,342142.1952717854,170047.2982781576,-36.66417,12,-17.099526530877306,-17.099526530877306,549.82886,170047.29827815757,-362998.7
0.0,0.0,63082.790841481845,10,211797.08882082696,0.0,0.0,13,10,63082.790841481845,23230.352365587838,23230.352365587827,nan,536000,191283860.0,211797.08882082696,23230.352365587827,-36.69161,13,-21.377320524920734,-21.377320524920734,421.7894,23230.352365587838,-396537.1
0.0,0.4,162641.6426140948,10,366762.9174146594,0.0,0.4,14,10,162641.6426140948,107058.97901087957,107058.97901087957,nan,560000,242185200.0,366762.9174146594,107058.97901087957,-36.859303,14,-113.30283539652231,-113.30283539652231,22233.154,107058.97901087957,-394111.03
0.0,0.4,158146.20732880576,10,358210.0364048716,0.0,0.4,15,10,158146.20732880576,160984.194580718,160984.194580718,nan,584000,233614140.0,358210.0364048716,160984.194580718,-36.96028,15,-22.98421663710739,-22.98421663710739,41792.355,160984.194580718,-379847.97
0.0,0.0,82125.41807497185,10,273279.9080194158,0.0,0.0,16,10,82125.41807497185,41344.994144562654,41344.994144562676,nan,608000,249942480.0,273279.9080194158,41344.994144562676,-36.91797,16,-63.21639770583997,-63.21639770583997,136.03625,41344.994144562654,-480952.72
0.0,0.3,156325.0673387919,10,362739.5507244619,0.0,0.3,17,10,156325.0673387919,149972.6545944777,149972.65459447767,nan,632000,244358660.0,362739.5507244619,149972.65459447767,-37.015438,17,-74.0163982643184,-74.0163982643184,143856.19,149972.6545944777,-307443.0
0.0,0.4,162521.34991662714,10,355519.0604343092,0.0,0.4,18,10,162521.34991662714,132554.0074636453,132554.00746364528,nan,656000,234741390.0,355519.0604343092,132554.00746364528,-36.944553,18,-24.897151546193612,-24.897151546193612,20783.406,132554.0074636453,-499171.94
0.0,0.4,137269.9003463586,10,372666.2259438612,0.0,0.4,19,10,137269.9003463586,100994.28230039107,100994.28230039105,nan,680000,208447520.0,372666.2259438612,100994.28230039105,-37.01467,19,-15.337413263597307,-15.337413263597307,164612.89,100994.28230039107,-428150.9
