MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss
89069.01165245075,89069.01165245075,10,111542.56488764656,0.6,nan,111542.56488764659,274246.22783317236,0.6,464000,-26.05951596809311,66685824.0,-339079.8,10,0.0,111542.56488764659,111542.56488764656,-26.05951596809311,274246.22783317236,0.0,10,10,6258.135,-35.895218
10.560462403718883,10.560462403718883,10,-44.00709469610068,0.0,nan,-44.00709469610069,-27.4633519686398,0.0,488000,-67.07051131787738,85403020.0,-370472.3,11,0.0,-44.00709469610069,-44.00709469610068,-67.07051131787738,-27.4633519686398,0.0,11,10,42734.715,-36.42327
43495.332944119196,43495.332944119196,10,33591.79742578773,0.2,nan,33591.79742578771,138498.3692380015,0.2,512000,4288.9892409033155,38378130.0,-239608.58,12,0.0,33591.79742578771,33591.79742578773,4288.9892409033155,138498.3692380015,0.0,12,10,19406.693,-34.544468
67587.26119766537,67587.26119766537,10,182684.324905628,0.4,nan,182684.32490562796,311097.92341929226,0.4,536000,112965.40940949158,90315600.0,-487421.94,13,0.0,182684.32490562796,182684.324905628,112965.40940949158,311097.92341929226,0.0,13,10,12741.01,-36.2889
137842.38160118862,137842.38160118862,10,182985.26455521767,0.5,nan,182985.26455521764,346130.0367713766,0.5,560000,5153.784566274318,109220740.0,-504402.44,14,0.0,182985.26455521764,182985.26455521767,5153.784566274318,346130.0367713766,0.0,14,10,8158.534,-36.24254
119595.14079898139,119595.14079898139,10,198742.81165082526,0.9,nan,198742.81165082534,329575.28036164073,0.9,584000,-20.27480707907102,164578140.0,-583967.4,15,0.0,198742.81165082534,198742.81165082526,-20.27480707907102,329575.28036164073,0.0,15,10,2139.879,-36.180233
60317.2052559956,60317.2052559956,10,283153.54030453076,0.8,nan,283153.5403045307,337668.5339331459,0.8,608000,155070.10649024652,202655520.0,-627585.0,16,0.0,283153.5403045307,283153.54030453076,155070.10649024652,337668.5339331459,0.0,16,10,560.27344,-36.938507
39619.563556925124,39619.563556925124,10,232211.9460243085,0.4,nan,232211.94602430853,292486.614416522,0.4,632000,186211.0629941197,247121540.0,-670359.8,17,0.0,232211.94602430853,232211.9460243085,186211.0629941197,292486.614416522,0.0,17,10,458.0139,-37.437366
91881.91446113949,91881.91446113949,10,254827.28867030068,0.9,nan,254827.28867030074,335193.79839528457,0.9,656000,3141.498810887009,286353800.0,-732195.6,18,0.0,254827.28867030074,254827.28867030068,3141.498810887009,335193.79839528457,0.0,18,10,358.08643,-37.477978
137725.41690209022,137725.41690209022,10,200197.47920765268,0.8,nan,200197.47920765268,343237.343521441,0.8,680000,3781.685827210986,327268580.0,-778827.0,19,0.0,200197.47920765268,200197.47920765268,3781.685827210986,343237.343521441,0.0,19,10,308.23608,-37.674717
