MetaTest/button-press-topdown-v1/MinReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/StdReturn,MetaTest/button-press-topdown-v1/NumTrajs,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTest/button-press-topdown-v1/Iteration,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha
-43.29405676386534,342468.2659653952,10,464000,139457.9647073916,10,143541.28772256518,139457.9647073916,-24949.416,8868433.0,139457.96470739163,143541.28772256518,10,0.3,0.3,5361.7915,-37.421516,10,0.0,-43.29405676386534,0.0,139457.96470739163,342468.2659653952,nan
-42.64975565461115,162735.88061475952,10,488000,29844.683748094707,11,53069.01867705566,29844.683748094707,-106078.21,17083882.0,29844.683748094692,53069.01867705566,10,0.0,0.0,968.4896,-37.97862,11,0.0,-42.64975565461115,0.0,29844.683748094692,162735.88061475952,nan
-25.745771472654855,324781.6401183869,10,512000,165464.36737802712,12,112494.22867513128,165464.36737802712,-160301.69,30570406.0,165464.36737802715,112494.22867513128,10,0.4,0.4,91.36181,-37.76901,12,0.0,-25.745771472654855,0.0,165464.36737802715,324781.6401183869,nan
17602.064534771373,298143.6951188627,10,536000,188016.49044996116,13,82651.37399642392,188016.49044996116,-200329.08,51539828.0,188016.4904499611,82651.37399642392,10,0.4,0.4,231.57452,-37.88882,13,0.0,17602.064534771373,0.0,188016.4904499611,298143.6951188627,nan
211726.14433599767,323216.10380421695,10,560000,272311.02298026,14,40401.6451681404,272311.02298026,-285255.75,92558880.0,272311.02298026,40401.6451681404,10,0.5,0.5,247.78946,-37.953587,14,0.0,211726.14433599767,0.0,272311.02298026,323216.10380421695,nan
123062.3658319583,323756.7964674915,10,584000,244468.5722618901,15,60107.963827990854,244468.5722618901,-399617.06,140554800.0,244468.57226189016,60107.963827990854,10,0.4,0.4,344.17868,-37.65874,15,0.0,123062.3658319583,0.0,244468.57226189016,323756.7964674915,nan
11928.778671054544,330374.82747363695,10,608000,201496.31891121634,16,131555.4995799751,201496.31891121634,-504600.3,185242510.0,201496.31891121637,131555.4995799751,10,0.8,0.8,388.77905,-37.61155,16,0.0,11928.778671054544,0.0,201496.31891121637,330374.82747363695,nan
209785.00673079528,329646.08026345575,10,632000,265910.0380751786,17,43857.291871754256,265910.0380751786,-571605.75,218348850.0,265910.0380751787,43857.291871754256,10,0.6,0.6,469.69818,-37.75542,17,0.0,209785.00673079528,0.0,265910.0380751787,329646.08026345575,nan
202833.5317036706,332520.6898482183,10,656000,265690.2543074519,18,43848.79196776218,265690.2543074519,-624206.75,259326370.0,265690.25430745183,43848.79196776218,10,0.7,0.7,512.0449,-37.404533,18,0.0,202833.5317036706,0.0,265690.25430745183,332520.6898482183,nan
201716.83196672206,338745.27760054835,10,680000,291356.25200398185,19,45600.24801718702,291356.25200398185,-659473.25,292912700.0,291356.25200398196,45600.24801718702,10,0.9,0.9,1069.7205,-37.16806,19,0.0,201716.83196672206,0.0,291356.25200398196,338745.27760054835,nan
