MetaTest/pick-place-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-place-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/pick-place-v1/AverageDiscountedReturn,MetaTest/pick-place-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha
90,0.6812551385844503,-17.68346091166247,7.624632,-18.86794323078161,10,10,0.0,5.1040926,0.0,90,111.55856,-17.683460911662472,0.6812551385844503,-17.683460911662472,0.00012694209,-18.86794323078161,-17.68346091166247,-16.347561497665186,0.0,-16.347561497665186,1192000,0.0,0.015414515
91,0.7120521483846307,-18.416405121187783,7.624632,-19.803213457773282,10,10,0.0,5.189293,0.0,91,111.316444,-18.41640512118778,0.7120521483846307,-18.41640512118778,-0.00030661107,-19.803213457773282,-18.416405121187783,-17.61130025637917,0.0,-17.61130025637917,1204000,0.0,0.015407915
92,0.4492886916515894,-17.60969233644899,7.624632,-18.386607005567797,10,10,0.0,5.1236997,0.0,92,110.91309,-17.609692336448994,0.4492886916515894,-17.609692336448994,1.0757014e-05,-18.386607005567797,-17.60969233644899,-16.797720689197345,0.0,-16.797720689197345,1216000,0.0,0.015704501
93,1.0117979440547988,-17.570459778990944,7.624632,-19.38040574191048,10,10,0.0,5.0173893,0.0,93,110.54675,-17.570459778990944,1.0117979440547988,-17.570459778990944,0.00018518562,-19.38040574191048,-17.570459778990944,-16.12807512942805,0.0,-16.12807512942805,1228000,0.0,0.015377848
94,1.0244821653913783,-18.128741246806747,7.624632,-20.05230619979117,10,10,0.0,5.078269,0.0,94,110.30913,-18.12874124680675,1.0244821653913783,-18.12874124680675,0.0004371052,-20.05230619979117,-18.128741246806747,-16.472542499960458,0.0,-16.472542499960458,1240000,0.0,0.01572865
95,1.0365949312215572,-17.95130322117887,7.624632,-20.043223465296357,10,10,0.0,5.0678205,0.0,95,109.86529,-17.95130322117887,1.0365949312215572,-17.95130322117887,-0.001265715,-20.043223465296357,-17.95130322117887,-16.961017756672156,0.0,-16.961017756672156,1252000,0.0,0.015225153
96,1.274204953160882,-17.935065958987444,7.624632,-21.22314997601168,10,10,0.0,5.0588355,0.0,96,109.51302,-17.935065958987444,1.274204953160882,-17.935065958987444,-0.0003057661,-21.22314997601168,-17.935065958987444,-16.643946215978765,0.0,-16.643946215978765,1264000,0.0,0.016207369
97,2.0398439430133393,-18.242384033000697,7.624632,-23.83508173627645,10,10,0.0,4.9564395,0.0,97,109.23037,-18.242384033000697,2.0398439430133393,-18.242384033000697,1.9779578e-05,-23.83508173627645,-18.242384033000697,-16.5700399056393,0.0,-16.5700399056393,1276000,0.0,0.01638612
98,0.8234739357670473,-17.422357452633626,7.624632,-19.16905204145455,10,10,0.0,4.951485,0.0,98,108.90009,-17.422357452633626,0.8234739357670473,-17.422357452633626,0.00046315294,-19.16905204145455,-17.422357452633626,-16.21491990772431,0.0,-16.21491990772431,1288000,0.0,0.016154865
99,1.3579859187172088,-18.417775761036832,7.624632,-21.144505175198386,10,10,0.0,4.866917,0.0,99,108.56674,-18.417775761036832,1.3579859187172088,-18.417775761036832,0.00068350544,-21.144505175198386,-18.417775761036832,-16.668448429253964,0.0,-16.668448429253964,1300000,0.0,0.016117139
