MetaTest/Average/Iteration,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps
38,20.96247781764941,20.96247781764941,-7.889773916744196,10,-889.022,-7.889773916744196,0.0,-41.80032024509701,0.0,nan,-41.80032024509701,-41.80032024509701,0.0,249981.16,-73.03015109578143,0.0,1.6681194,-73.03015109578143,7.789045,10,-41.80032024509701,38,1136000
39,13.81143717763196,13.81143717763196,-38.740997778606875,10,-2200.3464,-38.740997778606875,0.0,-54.42440189048924,0.0,nan,-54.42440189048924,-54.424401890489264,0.0,596091.94,-86.94579181876159,0.0,-0.49690863,-86.94579181876159,14.44257,10,-54.424401890489264,39,1160000
40,17.889377281518723,17.889377281518723,-36.527487046617516,10,-4953.699,-36.527487046617516,0.0,-64.56522756690222,0.0,nan,-64.56522756690222,-64.56522756690224,0.0,1042132.06,-89.63545513654358,0.0,-5.30886,-89.63545513654358,76.676575,10,-64.56522756690224,40,1184000
41,24.753232701708058,24.753232701708058,-29.226493367444487,10,-10565.385,-29.226493367444487,0.0,-58.789903708942134,0.0,nan,-58.789903708942134,-58.789903708942155,0.0,1389713.1,-121.83391555584883,0.0,-10.216617,-121.83391555584883,67.033325,10,-58.789903708942155,41,1208000
42,158.43222694338564,158.43222694338564,461.0366595412464,10,-20956.9,461.0366595412464,0.0,-13.599147209777925,0.0,nan,-13.599147209777925,-13.599147209777978,0.0,1688249.2,-78.35631638098302,0.0,-15.29104,-78.35631638098302,32.816517,10,-13.599147209777978,42,1232000
43,9.24200111204981,9.24200111204981,-32.01803962941459,10,-34453.164,-32.01803962941459,0.0,-49.92232466941717,0.0,nan,-49.92232466941717,-49.92232466941717,0.0,1972341.8,-67.57768154165235,0.0,-16.416962,-67.57768154165235,126.28073,10,-49.92232466941717,43,1256000
44,29.862231767928925,29.862231767928925,-17.37352264711069,10,-42765.344,-17.37352264711069,0.0,-60.287925429776045,0.0,nan,-60.287925429776045,-60.28792542977603,0.0,1761652.8,-141.6616447675171,0.0,-14.625259,-141.6616447675171,108.00346,10,-60.28792542977603,44,1280000
45,12.775083963715625,12.775083963715625,-30.477597039404966,10,-44466.67,-30.477597039404966,0.0,-51.61938157086432,0.0,nan,-51.61938157086432,-51.61938157086431,0.0,1701222.1,-68.62929293717224,0.0,-13.218332,-68.62929293717224,73.352325,10,-51.61938157086431,45,1304000
46,20.11547379512672,20.11547379512672,-31.013699722271497,10,-43293.332,-31.013699722271497,0.0,-57.947677218680305,0.0,nan,-57.947677218680305,-57.94767721868031,0.0,2090835.8,-99.12221100979309,0.0,-12.234336,-99.12221100979309,93.362045,10,-57.94767721868031,46,1328000
47,32.31849309246569,32.31849309246569,-17.383704111546553,10,-41477.074,-17.383704111546553,0.0,-73.999643503821,0.0,nan,-73.999643503821,-73.99964350382099,0.0,2719284.8,-111.91918657197222,0.0,-11.812511,-111.91918657197222,189.895,10,-73.99964350382099,47,1352000
48,11.548449094343084,11.548449094343084,-23.94126020966511,10,-40454.91,-23.94126020966511,0.0,-51.88475185387726,0.0,nan,-51.88475185387726,-51.884751853877276,0.0,2683970.2,-65.66741962150455,0.0,-11.629322,-65.66741962150455,209.27896,10,-51.884751853877276,48,1376000
49,15.436297332324097,15.436297332324097,-22.775605305180385,10,-40932.54,-22.775605305180385,0.0,-57.57670178629328,0.0,nan,-57.57670178629328,-57.57670178629329,0.0,2847958.8,-82.72011815249891,0.0,-12.132142,-82.72011815249891,178.14572,10,-57.57670178629329,49,1400000
