TotalEnvSteps,pick-place-v1/MaxReturn,Average/SuccessRate,policy/dLoss,pick-place-v1/StdReturn,MetaTest/Average/SuccessRate,policy/Entropy,Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,Average/TerminationRate,pick-place-v1/SuccessRate,policy/KLBefore,policy/KL,pick-place-v1/AverageDiscountedReturn,pick-place-v1/TerminationRate,Average/MaxReturn,MetaTest/pick-place-v1/MinReturn,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/AverageDiscountedReturn,pick-place-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/pick-place-v1/Iteration,MetaTest/pick-place-v1/AverageReturn,MetaTest/pick-place-v1/MaxReturn,MetaTest/Average/NumEpisodes,pick-place-v1/AverageReturn,MetaTest/pick-place-v1/TerminationRate,Average/MinReturn,Average/AverageReturn,Average/NumEpisodes,pick-place-v1/NumEpisodes,MetaTest/pick-place-v1/StdReturn,pick-place-v1/Iteration,Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/pick-place-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn
900000,-21.501443695889566,0.0,-0.00045227507,3.6824034120674916,,5.3989563,44,,,,0.0,0.0,0.0,0.005569458,-12.598220301200474,0.0,-21.501443695889566,,,,-38.50858546514638,,,,,,,-28.655600510633704,,-38.50858546514638,-28.655600510633704,100,100,,44,3.6824034120674916,0.43911981068466743,-12.598220301200474,0.000519812,,6.753692e-05,,
920000,-20.938525633765778,0.0,0.0006656754,4.0298777383360465,,5.386727,45,,,,0.0,0.0,0.0,0.007160581,-12.35865039785217,0.0,-20.938525633765778,,,,-41.83854482759466,,,,,,,-28.876305251834715,,-41.83854482759466,-28.876305251834715,100,100,,45,4.0298777383360465,0.3804802157395215,-12.35865039785217,-0.005361429,,-0.0046957536,,
940000,-19.68410517265796,0.0,-0.001579233,3.3499955715438996,,5.3742824,46,,,,0.0,0.0,0.0,0.0022931157,-12.550389314208724,0.0,-19.68410517265796,,,,-38.963842781921336,,,,,,,-28.387686250092507,,-38.963842781921336,-28.387686250092507,100,100,,46,3.3499955715438996,0.3281703623753428,-12.550389314208724,-0.0009046318,,-0.0024838648,,
960000,-20.397393660332373,0.0,0.0004523208,3.3563481389947394,,5.3684087,47,,,,0.0,0.0,0.0,0.0034333924,-12.215251395638347,0.0,-20.397393660332373,,,,-35.78604285853992,,,,,,,-28.02860162817115,,-35.78604285853992,-28.02860162817115,100,100,,47,3.3563481389947394,0.23133803311401557,-12.215251395638347,-0.0017242408,,-0.00127192,,
980000,-21.70748065983715,0.0,0.0010897368,3.2062930225457777,,5.3635683,48,,,,0.0,0.0,0.0,0.0047470885,-12.224136442928907,0.0,-21.70748065983715,,,,-36.388755182308046,,,,,,,-27.650423440484293,,-36.388755182308046,-27.650423440484293,100,100,,48,3.2062930225457777,0.2771286833132699,-12.224136442928907,-0.0032367976,,-0.0021470608,,
1000000,-19.253536139777182,0.0,-0.00066722743,3.059416978960987,,5.3538365,49,,,,0.0,0.0,0.0,0.005180307,-11.84335012799698,0.0,-19.253536139777182,,,,-37.2395276802223,,,,,,,-26.65235807317806,,-37.2395276802223,-26.65235807317806,100,100,,49,3.059416978960987,0.34984085960331435,-11.84335012799698,-0.0026232544,,-0.0032904819,,
1020000,-19.13096741918913,0.0,-0.0019046271,2.9141909601219123,0.0,5.3464136,50,0.0,-25.711550316631566,-21.68461602747563,0.0,0.0,0.0,0.0072616898,-11.688025217888914,0.0,-19.13096741918913,-30.368228659216527,0.0,-25.711550316631577,-37.35933373631014,2.5813399031173105,5,5,-25.711550316631566,-21.68461602747563,10,-26.04223829239294,0.0,-37.35933373631014,-26.04223829239294,100,100,2.5813399031173105,50,2.9141909601219123,0.2606503539016298,-11.688025217888914,0.004301602,-30.368228659216527,0.002396975,10,-25.711550316631577
1040000,-19.426318583447983,0.0,0.0010228672,3.297336662280746,,5.340348,51,,,,0.0,0.0,0.0,0.009932129,-11.904066276588628,0.0,-19.426318583447983,,,,-38.07585567792146,,,,,,,-26.53815915443322,,-38.07585567792146,-26.53815915443322,100,100,,51,3.297336662280746,0.39240436260772316,-11.904066276588628,-0.001564178,,-0.0005413109,,
1060000,-20.36102814208946,0.0,0.0012435066,2.976497456855178,,5.3318,52,,,,0.0,0.0,0.0,0.012532827,-11.848815453506178,0.0,-20.36102814208946,,,,-34.02705436227063,,,,,,,-26.13474746170688,,-34.02705436227063,-26.13474746170688,100,100,,52,2.976497456855178,0.27926571883568996,-11.848815453506178,-0.0048110625,,-0.003567556,,
1080000,-18.676203634997584,0.0,-0.0015138986,3.1668025813135756,,5.320544,53,,,,0.0,0.0,0.0,0.0076008164,-11.379247649929141,0.0,-18.676203634997584,,,,-34.12472425299497,,,,,,,-25.385360070364783,,-34.12472425299497,-25.385360070364783,100,100,,53,3.1668025813135756,0.4218106574694317,-11.379247649929141,-0.0025062629,,-0.0040201615,,
1100000,-19.043728521463436,0.0,-0.0032504988,2.7151318486892286,,5.3087645,54,,,,0.0,0.0,0.0,0.006922796,-11.191565732745993,0.0,-19.043728521463436,,,,-33.29701598955846,,,,,,,-24.379372782645405,,-33.29701598955846,-24.379372782645405,100,100,,54,2.7151318486892286,0.26156815352871043,-11.191565732745993,0.0038917756,,0.00064127694,,
1120000,-20.288694973058373,0.0,-0.0035610674,2.9952726116330837,,5.293044,55,,,,0.0,0.0,0.0,0.013575687,-11.353272351440392,0.0,-20.288694973058373,,,,-38.23334477513737,,,,,,,-25.105000740775953,,-38.23334477513737,-25.105000740775953,100,100,,55,2.9952726116330837,0.3482573955577777,-11.353272351440392,0.0014564797,,-0.0021045876,,
1140000,-18.35743616365579,0.0,-0.0017611892,2.563118290180579,,5.279452,56,,,,0.0,0.0,0.0,0.012074272,-11.129997874658134,0.0,-18.35743616365579,,,,-32.65794811272964,,,,,,,-24.77165044438791,,-32.65794811272964,-24.77165044438791,100,100,,56,2.563118290180579,0.3265306351645577,-11.129997874658134,0.00065992813,,-0.0011012611,,
1160000,-18.751576478086704,0.0,-0.0023929488,2.368478466191442,,5.267457,57,,,,0.0,0.0,0.0,0.006355243,-10.915696559772533,0.0,-18.751576478086704,,,,-28.26130440087592,,,,,,,-23.848592494638147,,-28.26130440087592,-23.848592494638147,100,100,,57,2.368478466191442,0.26909159442058295,-10.915696559772533,-0.0012851364,,-0.0036780853,,
1180000,-18.52367030345275,0.0,-0.0014970467,3.242821125359949,,5.2553244,58,,,,0.0,0.0,0.0,0.008732234,-10.837128520946488,0.0,-18.52367030345275,,,,-38.62992024739539,,,,,,,-24.087377798238748,,-38.62992024739539,-24.087377798238748,100,100,,58,3.242821125359949,0.3643688981609928,-10.837128520946488,-0.0006320694,,-0.002129116,,
