MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/soccer-v1/SuccessRate,MetaTest/soccer-v1/StdReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/soccer-v1/Iteration,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/soccer-v1/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/soccer-v1/NumTrajs
10,0.0,68287.90269303265,68287.90269303265,7033.66880244321,0.1,177877.94,0.1,20425.530478183373,464000,765.56366,7033.668802443208,10,10,nan,0.0,-0.7327364,7033.668802443208,-103.64151190717726,-1379.136,7033.66880244321,-103.64151190717726,20425.530478183373,10
10,0.0,2371.5496095393482,2371.5496095393482,200.13980158617878,0.0,421634.53,0.0,724.8893019053315,488000,1949.532,200.13980158617898,11,11,nan,0.0,-3.861809,200.13980158617898,-89.76016218653339,-3396.436,200.13980158617878,-89.76016218653339,724.8893019053315,10
10,0.0,120.97243923355965,120.97243923355965,2.22049485337554,0.0,676242.8,0.0,66.28052263397979,512000,6830.5854,2.220494853375496,12,12,nan,0.0,-7.745782,2.220494853375496,-102.26526361015195,-8001.1523,2.22049485337554,-102.26526361015195,66.28052263397979,10
10,0.0,54.31843441569808,54.31843441569808,-54.54583165226954,0.0,656134.0,0.0,44.423176880645464,536000,5946.6226,-54.54583165226954,13,13,nan,0.0,-8.269848,-54.54583165226954,-90.74258107086283,-9126.843,-54.54583165226954,-90.74258107086283,44.423176880645464,10
10,0.0,1677.4653876448087,1677.4653876448087,143.2826264519443,0.0,723755.75,0.0,512.4335167125045,560000,25477.705,143.28262645194434,14,14,nan,0.0,-3.113208,143.28262645194434,-68.11295295145725,-1843.914,143.2826264519443,-68.11295295145725,512.4335167125045,10
10,0.0,5062.0213418904705,5062.0213418904705,477.61382010760417,0.0,782548.75,0.0,1530.7636056110723,584000,14285.735,477.61382010760445,15,15,nan,0.0,-8.547886,477.61382010760445,-102.92268183924081,-11171.411,477.61382010760417,-102.92268183924081,1530.7636056110723,10
10,0.0,-16.421807420952025,-16.421807420952025,-53.80650613229618,0.0,752665.1,0.0,26.765956442147974,608000,12876.599,-53.80650613229619,16,16,nan,0.0,-7.2094336,-53.80650613229619,-91.91434170928517,-11791.948,-53.80650613229618,-91.91434170928517,26.765956442147974,10
10,0.0,52641.147764344016,52641.147764344016,5299.393889834568,0.1,1093732.1,0.1,15781.927693478967,632000,2658.316,5299.393889834568,17,17,nan,0.0,-9.935588,5299.393889834568,-207.0091139303704,-21875.01,5299.393889834568,-207.0091139303704,15781.927693478967,10
10,0.0,-19.124044646436925,-19.124044646436925,-74.82177780491324,0.0,1011312.5,0.0,31.245499708146895,656000,1352.9122,-74.82177780491325,18,18,nan,0.0,-11.721499,-74.82177780491325,-106.25211124480654,-21898.416,-74.82177780491324,-106.25211124480654,31.245499708146895,10
10,0.0,45854.8774095072,45854.8774095072,4559.612731627405,0.5,1078749.6,0.5,13765.092265171243,680000,2443.7646,4559.612731627408,19,19,nan,0.0,-11.200234,4559.612731627408,-48.84701382561637,-21785.256,4559.612731627405,-48.84701382561637,13765.092265171243,10
