MetaTest/basketball-v1/NumTrajs,MetaTest/basketball-v1/MaxReturn,MetaTest/basketball-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/basketball-v1/StdReturn,MetaTest/basketball-v1/Iteration,MetaTest/basketball-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/basketball-v1/TerminationRate
10,-105.12476840424485,-147.98775455919792,-126.0782510924111,15.317244225867151,-147.98775455919792,-126.0782510924111,-126.0782510924111,-126.0782510924111,0.0,13,15.317244225867151,13,0.0,10,-105.12476840424485,536000,0.0,0.0
10,3.398235278254508,-144.95849817804378,-86.71232618165043,40.594948527966466,-144.95849817804378,-86.71232618165045,-86.71232618165045,-86.71232618165043,0.0,14,40.594948527966466,14,0.0,10,3.398235278254508,560000,0.0,0.0
10,-0.18107983835413852,-104.520880946753,-61.293457449166546,44.938793025115174,-104.520880946753,-61.293457449166546,-61.293457449166546,-61.293457449166546,0.0,15,44.938793025115174,15,0.0,10,-0.18107983835413852,584000,0.0,0.0
10,-49.075367918651146,-126.82340108277084,-97.10533109314183,26.03045202472632,-126.82340108277084,-97.10533109314184,-97.10533109314184,-97.10533109314183,0.0,16,26.03045202472632,16,0.0,10,-49.075367918651146,608000,0.0,0.0
10,-58.97395137103163,-200.12308499497735,-114.74058561433037,45.82346173235942,-200.12308499497735,-114.74058561433034,-114.74058561433034,-114.74058561433037,0.0,17,45.82346173235942,17,0.0,10,-58.97395137103163,632000,0.0,0.0
10,-118.51090395964303,-136.1046398400136,-125.8797284402192,5.711669356684072,-136.1046398400136,-125.87972844021922,-125.87972844021922,-125.8797284402192,0.0,18,5.711669356684072,18,0.0,10,-118.51090395964303,656000,0.0,0.0
10,8405.770923758771,-161.64458618094318,738.9245921320053,2555.8062281994853,-161.64458618094318,738.9245921320053,738.9245921320053,738.9245921320053,0.0,19,2555.8062281994853,19,0.0,10,8405.770923758771,680000,0.0,0.0
10,8618.138884349473,-149.0264178953147,853.4857663168754,2594.182668859135,-149.0264178953147,853.4857663168757,853.4857663168757,853.4857663168754,0.0,20,2594.182668859135,20,0.0,10,8618.138884349473,704000,0.0,0.0
10,-15.762888147707702,-78.48289736056061,-52.528027336203806,19.431007331795985,-78.48289736056061,-52.528027336203806,-52.528027336203806,-52.528027336203806,0.0,21,19.431007331795985,21,0.0,10,-15.762888147707702,728000,0.0,0.0
10,8191.212214193765,-161.59458335641756,799.5965717830816,2466.169810848284,-161.59458335641756,799.5965717830821,799.5965717830821,799.5965717830816,0.0,22,2466.169810848284,22,0.0,10,8191.212214193765,752000,0.0,0.0
10,403.14698042814,-139.5102403821561,-37.66943107289997,150.1514096472932,-139.5102403821561,-37.66943107290003,-37.66943107290003,-37.66943107289997,0.0,23,150.1514096472932,23,0.0,10,403.14698042814,776000,0.0,0.0
