MetaTest/door-lock-v1/MaxReturn,MetaTest/Average/MinReturn,Average/Iteration,Average/AverageDiscountedReturn,door-lock-v1/NumEpisodes,Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/Iteration,door-lock-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/door-lock-v1/NumEpisodes,door-lock-v1/MaxReturn,Average/TerminationRate,door-lock-v1/StdReturn,MetaTest/Average/MaxReturn,policy/KLBefore,MetaTest/door-lock-v1/MinReturn,MetaTest/Average/SuccessRate,door-lock-v1/SuccessRate,policy/LossBefore,MetaTest/door-lock-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/door-lock-v1/SuccessRate,Average/MinReturn,MetaTest/door-lock-v1/TerminationRate,Average/AverageReturn,policy/dLoss,MetaTest/door-lock-v1/StdReturn,door-lock-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/NumEpisodes,door-lock-v1/Iteration,MetaTest/door-lock-v1/AverageReturn,policy/Entropy,MetaTest/Average/StdReturn,door-lock-v1/MinReturn,Average/StdReturn,MetaTest/door-lock-v1/Iteration,door-lock-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,policy/KL,LinearFeatureBaseline/ExplainedVariance
,,23,550.6268611863102,100,100,480000,,1279.8313349071636,,,32534.71204610214,0.0,3687.585384561739,,0.0,,,0.0,1.19572,,-2.4565883,,-42.72741300294308,,1279.8313349071636,3.6523082,,0.0,0.0,,23,,5.350989,,-42.72741300294308,3687.585384561739,,550.6268611863102,32534.71204610214,,,0.004802092,0.28988491927602844
,,24,698.3942626332752,100,100,500000,,1521.1066495814127,,,27964.33131448477,0.0,3468.467004136423,,0.0,,,0.02,2.893917,,-0.87242186,,-44.52374742283498,,1521.1066495814127,3.7663388,,0.0,0.02,,24,,5.334498,,-44.52374742283498,3468.467004136423,,698.3942626332752,27964.33131448477,,,0.0073983553,0.15984779496394363
,,25,389.9453947251285,100,100,520000,,817.8840357584435,,,6735.286643946502,0.0,1557.5400864931523,,0.0,,,0.03,-0.1442125,,-1.3422375,,-45.26108929611374,,817.8840357584435,1.198025,,0.0,0.03,,25,,5.311633,,-45.26108929611374,1557.5400864931523,,389.9453947251285,6735.286643946502,,,0.0075741876,0.17593303856444742
,,26,726.7832096581944,100,100,540000,,1906.3052472915017,,,49368.72155133304,0.0,5733.277637340449,,0.0,,,0.01,2.7711093,,-2.7746437,,-43.667549941043376,,1906.3052472915017,5.545753,,0.0,0.01,,26,,5.3124895,,-43.667549941043376,5733.277637340449,,726.7832096581944,49368.72155133304,,,0.0059744306,0.2576914791839363
,,27,546.6860252192224,100,100,560000,,1250.78630061167,,,15312.348544519738,0.0,2255.489034445512,,0.0,,,0.01,-1.4155562,,-3.0025125,,-44.78105335204331,,1250.78630061167,1.5869563,,0.0,0.01,,27,,5.3221745,,-44.78105335204331,2255.489034445512,,546.6860252192224,15312.348544519738,,,0.0067851637,0.17851157994063127
,,28,979.0950402387198,100,100,580000,,2502.572148728889,,,45573.5136391843,0.0,6166.236079080646,,0.0,,,0.01,2.1513343,,-4.0351906,,-47.479968860990446,,2502.572148728889,6.186525,,0.0,0.01,,28,,5.322665,,-47.479968860990446,6166.236079080646,,979.0950402387198,45573.5136391843,,,0.004220783,0.24568010833076603
,,29,618.4418405386276,100,100,600000,,1359.326836620158,,,13759.183401718934,0.0,2239.587367760776,,0.0,,,0.04,1.7144781,,-0.19611876,,-42.73594766531922,,1359.326836620158,1.9105968,,0.0,0.04,,29,,5.309243,,-42.73594766531922,2239.587367760776,,618.4418405386276,13759.183401718934,,,0.008063632,0.17311248923053024
3209.898535172352,-41.846292451215575,30,889.420996505738,100,100,620000,3,2412.199115510323,0.0,10,43286.00613879781,0.0,5390.5111364432705,3209.898535172352,0.0,-41.846292451215575,0.0,0.03,5.5168858,769.6038157943132,0.31934765,0.0,-47.24388997991619,0.0,2412.199115510323,5.197538,1058.529849088984,0.0,0.03,10,30,769.603815794313,5.282193,1058.529849088984,-47.24388997991619,5390.5111364432705,3,889.420996505738,43286.00613879781,769.6038157943132,769.603815794313,0.007388802,0.2058301613268616
,,31,1541.1521311555216,100,100,640000,,3891.076343176123,,,44778.8553217747,0.0,7324.08015854724,,0.0,,,0.04,6.4808984,,-2.1193922,,-37.423608198980546,,3891.076343176123,8.60029,,0.0,0.04,,31,,5.2791414,,-37.423608198980546,7324.08015854724,,1541.1521311555216,44778.8553217747,,,0.0075703035,0.20580402481658167
,,32,1399.9792943716318,100,100,660000,,4720.907433649846,,,88703.39934797602,0.0,12617.6825827945,,0.0,,,0.06,13.097475,,0.5490062,,-37.12765384018881,,4720.907433649846,12.548469,,0.0,0.06,,32,,5.2891693,,-37.12765384018881,12617.6825827945,,1399.9792943716318,88703.39934797602,,,0.006210324,0.29356917554948525
