MetaTest/Average/StdReturn,MetaTest/button-press-topdown-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/button-press-topdown-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-v1/StdReturn,MetaTest/button-press-topdown-v1/Iteration,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/button-press-topdown-v1/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/button-press-topdown-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumTrajs,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-v1/MinReturn
121866.84184640065,0.0,0.0,nan,60911.90996547138,304904.3133762311,-39.266745577375794,10,-332773.56,60911.90996547133,121866.84184640065,10,464000,0.4,0.4,10,-19.47452,60911.90996547133,60911.90996547138,42952.934,10,44063076.0,304904.3133762311,-39.266745577375794
132483.39514882833,0.0,0.0,nan,105642.05993463195,311350.1544296072,-60.088605395839586,10,-411023.8,105642.05993463195,132483.39514882833,11,488000,0.2,0.2,11,-21.202293,105642.05993463195,105642.05993463195,18830.992,10,49758584.0,311350.1544296072,-60.088605395839586
113483.35111394155,0.0,0.0,nan,134543.29289856588,282938.29817307845,-23.921921042119244,10,-339546.06,134543.29289856588,113483.35111394155,12,512000,0.5,0.5,12,-22.981953,134543.29289856588,134543.29289856588,23968.598,10,43139084.0,282938.29817307845,-23.921921042119244
135442.5768611852,0.0,0.0,nan,109004.85119698857,300673.8780789826,-104.46320413988349,10,-275016.88,109004.85119698863,135442.5768611852,13,536000,0.3,0.3,13,-25.216852,109004.85119698863,109004.85119698857,25730.152,10,46962060.0,300673.8780789826,-104.46320413988349
83723.29547704318,0.0,0.0,nan,237956.34618142998,310925.66127954755,2625.180184155341,10,-493149.28,237956.34618143007,83723.29547704318,14,560000,0.7,0.7,14,-26.854523,237956.34618143007,237956.34618142998,4108.1084,10,55241096.0,310925.66127954755,2625.180184155341
145176.20930261625,0.0,0.0,nan,141709.8479701961,327019.68516165303,-102.06045778280917,10,-624779.2,141709.84797019608,145176.20930261625,15,584000,0.3,0.3,15,-28.460558,141709.84797019608,141709.8479701961,4699.372,10,61387690.0,327019.68516165303,-102.06045778280917
136545.680318834,0.0,0.0,nan,88092.09605232281,330522.06253238523,-97.67594090380344,10,-595211.4,88092.09605232286,136545.680318834,16,608000,0.2,0.2,16,-30.815538,88092.09605232286,88092.09605232281,84855.53,10,67604890.0,330522.06253238523,-97.67594090380344
139831.3587081996,0.0,0.0,nan,89818.77266962787,334474.63643931993,-111.00905888444245,10,-115439.11,89818.77266962788,139831.3587081996,17,632000,0.3,0.3,17,-35.25734,89818.77266962788,89818.77266962787,14544498.0,10,1521993100.0,334474.63643931993,-111.00905888444245
36.061517217617364,0.0,0.0,nan,-68.48658029461839,-19.746700687696904,-143.77438153236184,10,-250022.48,-68.4865802946184,36.061517217617364,18,656000,0.0,0.0,18,-34.628967,-68.4865802946184,-68.48658029461839,466741.6,10,55942068.0,-19.746700687696904,-143.77438153236184
128710.49384160026,0.0,0.0,nan,255760.9872369236,337980.1300812829,-20.917362762837353,10,-395484.53,255760.98723692363,128710.49384160026,19,680000,0.9,0.9,19,-33.44505,255760.98723692363,255760.9872369236,11249.231,10,65974190.0,337980.1300812829,-20.917362762837353
