MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/peg-insert-side-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/peg-insert-side-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate
-89.5668380077235,24.269202968577364,-89.5668380077235,-46.092472963060445,10,24.269202968577364,0.0,-46.092472963060445,10,14,-46.09247296306044,-46.09247296306044,0.0,-17.523510720744937,-17.523510720744937,560000,0.0,14,0.0
-127.71636591654404,26.68810677218725,-127.71636591654404,-64.90036910892518,10,26.68810677218725,0.0,-64.90036910892518,10,15,-64.90036910892516,-64.90036910892516,0.0,-31.299035941309423,-31.299035941309423,584000,0.0,15,0.0
-122.68461827760868,22.974219938593308,-122.68461827760868,-83.97780716399461,10,22.974219938593308,0.0,-83.97780716399461,10,16,-83.97780716399458,-83.97780716399458,0.0,-55.39305034246787,-55.39305034246787,608000,0.0,16,0.0
-117.18804172993201,27.825282102815173,-117.18804172993201,-81.09460945059125,10,27.825282102815173,0.0,-81.09460945059125,10,17,-81.09460945059122,-81.09460945059122,0.0,-24.77286868807163,-24.77286868807163,632000,0.0,17,0.0
-124.18237030804043,31.122744992128816,-124.18237030804043,-84.12410629513818,10,31.122744992128816,0.0,-84.12410629513818,10,18,-84.1241062951382,-84.1241062951382,0.0,-29.90861890713707,-29.90861890713707,656000,0.0,18,0.0
-74.45435183098326,2056.3524557409764,-74.45435183098326,633.5827084055541,10,2056.3524557409764,0.0,633.5827084055541,10,19,633.5827084055542,633.5827084055542,0.0,6802.457982308088,6802.457982308088,680000,0.0,19,0.0
-74.75666487291481,12.446837605126204,-74.75666487291481,-54.658745834255,10,12.446837605126204,0.0,-54.658745834255,10,20,-54.65874583425502,-54.65874583425502,0.0,-29.9072704419627,-29.9072704419627,704000,0.0,20,0.0
-92.88154071341414,18.896453016227163,-92.88154071341414,-55.36301542066717,10,18.896453016227163,0.0,-55.36301542066717,10,21,-55.36301542066717,-55.36301542066717,0.0,-20.53257648554879,-20.53257648554879,728000,0.0,21,0.0
-123.97370200244315,28.321227249087514,-123.97370200244315,-67.74853730965035,10,28.321227249087514,0.0,-67.74853730965035,10,22,-67.74853730965035,-67.74853730965035,0.0,-17.21603225769319,-17.21603225769319,752000,0.0,22,0.0
-112.6903667081797,30.597345174947584,-112.6903667081797,-45.67027584645064,10,30.597345174947584,0.0,-45.67027584645064,10,23,-45.670275846450636,-45.670275846450636,0.0,-2.6761929316858213,-2.6761929316858213,776000,0.0,23,0.0
