MetaTest/soccer-v1/StdReturn,MetaTest/soccer-v1/MaxReturn,MetaTrain/Average/QfLoss,TotalEnvSteps,MetaTest/soccer-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/soccer-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/soccer-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTest/soccer-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/soccer-v1/TerminationRate,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn
9221.89358320794,25833.025811790583,2853850.0,464000,10,5662.631849562972,0.4,nan,-23.878494717716254,5662.631849562973,25833.025811790583,10,752.6057,5662.631849562973,0.0,10,0.4,-23.878494717716254,-22.35523,10,0.0,5662.631849562972,-76935.52,9221.89358320794
4756.616694417998,13372.293725978998,2662974.0,488000,11,2325.3418075221693,0.6,nan,-57.09030364810763,2325.3418075221693,13372.293725978998,10,2771.0176,2325.3418075221693,0.0,10,0.6,-57.09030364810763,-21.313711,11,0.0,2325.3418075221693,-69066.086,4756.616694417998
96.46501498267658,300.33736720357103,2982481.0,512000,12,11.322893193679718,0.4,nan,-34.06415304534507,11.322893193679729,300.33736720357103,10,2739.166,11.322893193679729,0.0,10,0.4,-34.06415304534507,-20.944742,12,0.0,11.322893193679718,-71537.68,96.46501498267658
25508.856134435642,61125.369987379825,3306283.0,536000,13,16600.133445370862,0.4,nan,-19.81761737777848,16600.133445370866,61125.369987379825,10,1615.6732,16600.133445370866,0.0,10,0.4,-19.81761737777848,-20.943531,13,0.0,16600.133445370862,-74736.016,25508.856134435642
27903.609017329632,82465.81475180664,3169334.5,560000,14,19804.09387895681,0.2,nan,-34.20816340753752,19804.09387895682,82465.81475180664,10,3099.9717,19804.09387895682,0.0,10,0.2,-34.20816340753752,-16.719479,14,0.0,19804.09387895681,-57226.9,27903.609017329632
41523.761340514466,94279.88817649572,3613037.5,584000,15,37132.22421396541,0.0,nan,-29.575557735357584,37132.22421396541,94279.88817649572,10,2592.2605,37132.22421396541,0.0,10,0.0,-29.575557735357584,-18.041227,15,0.0,37132.22421396541,-56500.42,41523.761340514466
34832.04588072743,92686.51165935985,5390867.0,608000,16,18403.767004672412,0.4,nan,-18.93446936157923,18403.76700467241,92686.51165935985,10,862.4882,18403.76700467241,0.0,10,0.4,-18.93446936157923,-22.213785,16,0.0,18403.767004672412,-97731.17,34832.04588072743
35930.8966991742,94031.7847212089,6504417.0,632000,17,22975.202907517054,0.6,nan,-51.436732861911985,22975.20290751705,94031.7847212089,10,996.0962,22975.20290751705,0.0,10,0.6,-51.436732861911985,-22.75028,17,0.0,22975.202907517054,-107724.016,35930.8966991742
32422.93550374428,101455.31735600244,7790913.5,656000,18,30919.751555586972,0.0,nan,-109.62680926225498,30919.75155558697,101455.31735600244,10,806.6171,30919.75155558697,0.0,10,0.0,-109.62680926225498,-23.196415,18,0.0,30919.751555586972,-115558.88,32422.93550374428
35538.70019212004,94056.43021454572,8902280.0,680000,19,47412.86186514859,0.2,nan,-17.527537223797463,47412.86186514859,94056.43021454572,10,4027.139,47412.86186514859,0.0,10,0.2,-17.527537223797463,-22.655367,19,0.0,47412.86186514859,-116348.93,35538.70019212004
