MetaTest/soccer-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/soccer-v1/MinReturn,MetaTest/soccer-v1/NumTrajs,MetaTest/soccer-v1/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/TerminationRate,MetaTest/soccer-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn
0.0,11,10,34.70035695666101,-122.38877162428653,10,-25.24177041919604,0.0,488000,-52.61962780176524,0.0,-25.24177041919604,-52.619627801765226,11,0.0,34.70035695666101,-52.619627801765226,-122.38877162428653,-52.61962780176524
0.0,12,10,27.45818119541231,-92.26949769315888,10,-25.164952289314,0.0,512000,-58.12910879420381,0.0,-25.164952289314,-58.129108794203795,12,0.0,27.45818119541231,-58.129108794203795,-92.26949769315888,-58.12910879420381
0.0,13,10,22.08823002005823,-93.68353346303118,10,-25.490569543173258,0.0,536000,-61.67466058060178,0.0,-25.490569543173258,-61.67466058060181,13,0.0,22.08823002005823,-61.67466058060181,-93.68353346303118,-61.67466058060178
0.0,14,10,302.78830849286646,-91.27056647597381,10,962.4561129855529,0.0,560000,63.33507314048188,0.0,962.4561129855529,63.33507314048184,14,0.0,302.78830849286646,63.33507314048184,-91.27056647597381,63.33507314048188
0.0,15,10,24.208752361001686,-95.46137092171362,10,-29.303151832719692,0.0,584000,-73.10568844566248,0.0,-29.303151832719692,-73.10568844566245,15,0.0,24.208752361001686,-73.10568844566245,-95.46137092171362,-73.10568844566248
0.0,16,10,14.225547797751997,-102.53577849894853,10,-52.197590568544165,0.0,608000,-85.19237386261571,0.0,-52.197590568544165,-85.1923738626157,16,0.0,14.225547797751997,-85.1923738626157,-102.53577849894853,-85.19237386261571
0.0,17,10,64.1767560182464,-105.6259350300154,10,124.05478678843669,0.0,632000,-46.151727724864216,0.0,124.05478678843669,-46.15172772486419,17,0.0,64.1767560182464,-46.15172772486419,-105.6259350300154,-46.151727724864216
0.0,18,10,18.71571632234883,-91.20534368460922,10,-20.00865249117536,0.0,656000,-43.60010723113692,0.0,-20.00865249117536,-43.600107231136896,18,0.0,18.71571632234883,-43.600107231136896,-91.20534368460922,-43.60010723113692
0.0,19,10,6678.755656772275,-56.04040570238154,10,22239.543139460988,0.0,680000,2203.626600515759,0.0,22239.543139460988,2203.6266005157586,19,0.0,6678.755656772275,2203.6266005157586,-56.04040570238154,2203.626600515759
0.0,20,10,31.414206206877154,-96.00560556455311,10,-20.977151990796866,0.0,704000,-68.41072513750458,0.0,-20.977151990796866,-68.41072513750456,20,0.0,31.414206206877154,-68.41072513750456,-96.00560556455311,-68.41072513750458
0.1,21,10,6868.826035299318,-133.9072780010791,10,22843.242893085546,0.1,728000,2236.965329781461,0.0,22843.242893085546,2236.965329781461,21,0.0,6868.826035299318,2236.965329781461,-133.9072780010791,2236.965329781461
0.0,22,10,15796.112425340843,-91.32929459776746,10,52607.445058338155,0.0,752000,5219.142714306821,0.0,52607.445058338155,5219.142714306825,22,0.0,15796.112425340843,5219.142714306825,-91.32929459776746,5219.142714306821
0.1,23,10,12002.318795089997,-89.53564404100129,10,40082.703065316586,0.1,776000,4095.3738951355335,0.0,40082.703065316586,4095.373895135538,23,0.0,12002.318795089997,4095.373895135538,-89.53564404100129,4095.3738951355335
0.3,24,10,13.003083059096634,-49.306540110656606,10,-13.261371089124731,0.3,800000,-36.48137919015422,0.0,-13.261371089124731,-36.481379190154215,24,0.0,13.003083059096634,-36.481379190154215,-49.306540110656606,-36.48137919015422
